keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag
defense styles,defense styles,defense styles,app_sem_0414,no_semantic_change,untranslated_review,low,translation_review
deficit,deficit,deficyt,app_sem_0415,no_semantic_change,glossary_exact,high,ok
deficit schizophrenia,deficit schizophrenia,schizofrenia deficytowa,app_sem_0416,no_semantic_change,glossary_exact,high,ok
deinstitutionalization,deinstitutionalization,deinstitutionalization,app_sem_0417,no_semantic_change,untranslated_review,low,translation_review
deliberate self-harm,deliberate self-harm,deliberate ja-harm,app_sem_0418,no_semantic_change,token_partial_review,medium,translation_review
delirium,delirium,delirium,app_sem_0419,no_semantic_change,untranslated_review,low,translation_review
delusion-proneness,delusion-proneness,delusion-proneness,app_sem_0421,no_semantic_change,untranslated_review,low,translation_review
delusions,delusion,urojenie,app_sem_0420,exact_map:delusions->delusion,glossary_exact,high,semantic_merge_audit
dementia,dementia,otępienie,app_sem_0422,no_semantic_change,glossary_exact,high,ok
dementia of the alzheimer type,dementia of the alzheimer type,dementia of the alzheimer type,app_sem_0423,no_semantic_change,untranslated_review,low,translation_review
demographic factors,demographic factor,demographic czynnik,app_sem_0424,plural_to_concept:demographic factors->demographic factor,token_partial_review,medium,translation_review|semantic_merge_audit
dependence,dependence,uzależnienie,app_sem_0425,no_semantic_change,token_full,high,ok
deportation,deportation,deportacja,app_sem_0426,no_semantic_change,glossary_exact,high,ok
depot formulation,depot formulation,depot formulation,app_sem_0427,no_semantic_change,untranslated_review,low,translation_review
depressed mood,depressed mood,depressed mood,app_sem_0428,no_semantic_change,untranslated_review,low,translation_review
depressin,depressin,depressin,app_sem_0429,no_semantic_change,untranslated_review,low,translation_review
depression,depression,depresja,app_sem_0430,no_semantic_change,glossary_exact,high,ok
depression as defence mechanism,depression as defence mechanism,depresja as defence mechanism,app_sem_0431,no_semantic_change,token_partial_review,medium,translation_review
depressive disorder,depressive disorder,zaburzenie depresyjne,app_sem_0432,no_semantic_change,glossary_exact,high,ok
depressive disorders,depressive disorder,zaburzenie depresyjne,app_sem_0432,plural_to_concept:depressive disorders->depressive disorder,glossary_exact,high,semantic_merge_audit
depressive symptoms,depressive symptom,objaw depresyjny,app_sem_0433,exact_map:depressive symptoms->depressive symptom,glossary_exact,high,semantic_merge_audit
depressiveness,depressiveness,depressiveness,app_sem_0434,no_semantic_change,untranslated_review,low,translation_review
dermatosis,dermatosis,dermatosis,app_sem_0435,no_semantic_change,untranslated_review,low,translation_review
desnos,desnos,desnos,app_sem_0436,no_semantic_change,untranslated_review,low,translation_review
detection,detection,detection,app_sem_0437,no_semantic_change,untranslated_review,low,translation_review
determinants of health,determinants of health,determinants of zdrowie,app_sem_0438,no_semantic_change,token_partial_review,medium,translation_review
detoxification,detoxification,detoxification,app_sem_0439,no_semantic_change,untranslated_review,low,translation_review
development,development,development,app_sem_0440,no_semantic_change,untranslated_review,low,translation_review
developmental dyslexia,developmental dyslexia,developmental dyslexia,app_sem_0441,no_semantic_change,untranslated_review,low,translation_review
diabetes,diabetes,cukrzyca,app_sem_0442,no_semantic_change,glossary_exact,high,ok
diabetes distress,diabetes distress,diabetes distress,app_sem_0443,no_semantic_change,untranslated_review,low,translation_review
diabetes mellitus,diabetes mellitus,diabetes mellitus,app_sem_0444,no_semantic_change,untranslated_review,low,translation_review
diabetes type 1,diabetes type 1,diabetes type 1,app_sem_0445,no_semantic_change,untranslated_review,low,translation_review
diabulimia,diabulimia,diabulimia,app_sem_0446,no_semantic_change,untranslated_review,low,translation_review
diagnosis,diagnosis,diagnoza,app_sem_0447,no_semantic_change,glossary_exact,high,ok
diagnosis applied in psychotherapy,diagnosis applied in psychotherapy,diagnoza applied in psychoterapia,app_sem_0448,no_semantic_change,token_partial_review,medium,translation_review
diagnostic approach,diagnostic approach,diagnostyczny approach,app_sem_0449,no_semantic_change,token_partial_review,medium,translation_review
diagnostic procedures,diagnostic procedures,diagnostyczny procedures,app_sem_0450,no_semantic_change,token_partial_review,medium,translation_review
diagnostic tips,diagnostic tips,diagnostyczny tips,app_sem_0451,no_semantic_change,token_partial_review,medium,translation_review
dialectical behavior therapydbt,dialectical behavior therapydbt,dialectical behavior therapydbt,app_sem_0452,no_semantic_change,untranslated_review,low,translation_review
diet,diet,diet,app_sem_0453,no_semantic_change,untranslated_review,low,translation_review
dietary supplements,dietary supplements,dietary supplements,app_sem_0454,no_semantic_change,untranslated_review,low,translation_review
differential diagnosis,differential diagnosis,diagnoza różnicowa,app_sem_0455,no_semantic_change,glossary_exact,high,ok
dignity,dignity,dignity,app_sem_0456,no_semantic_change,untranslated_review,low,translation_review
dimensional models,dimensional models,dimensional models,app_sem_0457,no_semantic_change,untranslated_review,low,translation_review
disability,disability,niepełnosprawność,app_sem_0458,no_semantic_change,glossary_exact,high,ok
discriminate analysis,discriminate analysis,discriminate analysis,app_sem_0459,no_semantic_change,untranslated_review,low,translation_review
discussion with anti-and postpsychiatry,discussion with anti-and postpsychiatry,discussion with anti-and postpsychiatry,app_sem_0460,no_semantic_change,untranslated_review,low,translation_review
disorder,disorder,zaburzenie,app_sem_0461,no_semantic_change,token_full,high,ok
disordered body image,disordered body image,disordered body image,app_sem_0462,no_semantic_change,untranslated_review,low,translation_review
disordered eating,disordered eating,zaburzone odżywianie,app_sem_0463,no_semantic_change,glossary_exact,high,ok
disorders,disorders,zaburzenia,app_sem_0464,no_semantic_change,token_full,high,ok
disorganised attachment,disorganised attachment,zdezorganizowane przywiązanie,app_sem_0465,no_semantic_change,glossary_exact,high,ok
disruptive behavior disorders in children and adolescents,disruptive behavior disorders in children and adolescents,disruptive behavior zaburzenia in dzieci and adolescenci,app_sem_0466,no_semantic_change,token_partial_review,medium,translation_review
dissociation,dissociation,dissociation,app_sem_0467,no_semantic_change,untranslated_review,low,translation_review
dissociation and trauma,dissociation and trauma,dissociation and trauma,app_sem_0468,no_semantic_change,token_partial_review,medium,translation_review
distorted body image,distorted body image,distorted body image,app_sem_0469,no_semantic_change,untranslated_review,low,translation_review
doctor-patient relationship,doctor-patient relationship,doctor-patient relacja,app_sem_0470,no_semantic_change,token_partial_review,medium,translation_review
domestic violence,domestic violence,domestic przemoc,app_sem_0471,no_semantic_change,token_partial_review,medium,translation_review
dopamine,dopamine,dopamina,app_sem_0472,no_semantic_change,glossary_exact,high,ok
drama,drama,drama,app_sem_0473,no_semantic_change,untranslated_review,low,translation_review
dramatology,dramatology,dramatologia,app_sem_0474,no_semantic_change,glossary_exact,high,ok
drawings,drawings,drawings,app_sem_0475,no_semantic_change,untranslated_review,low,translation_review
dream emotions,dream emotions,dream emotions,app_sem_0476,no_semantic_change,untranslated_review,low,translation_review
dreaming,dreaming,dreaming,app_sem_0477,no_semantic_change,untranslated_review,low,translation_review
drop out,drop out,drop out,app_sem_0478,no_semantic_change,untranslated_review,low,translation_review
drop-out,drop-out,drop-out,app_sem_0479,no_semantic_change,untranslated_review,low,translation_review
drug,drug,lek,app_sem_0480,no_semantic_change,token_full,high,ok
drug addiction,drug addiction,uzależnienie od narkotyków,app_sem_0481,no_semantic_change,glossary_exact,high,ok
drug-resistant depression,drug-resistant depression,lek-resistant depresja,app_sem_0482,no_semantic_change,token_partial_review,medium,translation_review
dryness of mouth,dryness of mouth,dryness of mouth,app_sem_0483,no_semantic_change,untranslated_review,low,translation_review
dsm,dsm,dsm,app_sem_0484,no_semantic_change,untranslated_review,low,translation_review
dsm-5,dsm-5,dsm-5,app_sem_0485,no_semantic_change,untranslated_review,low,translation_review
dsm5,dsm5,dsm5,app_sem_0486,no_semantic_change,untranslated_review,low,translation_review
dual diagnosis,dual diagnosis,podwójna diagnoza,app_sem_0487,no_semantic_change,glossary_exact,high,ok
duration of psychotherapy,duration of psychotherapy,duration of psychoterapia,app_sem_0488,no_semantic_change,token_partial_review,medium,translation_review
dynamic psychiatry,dynamic psychiatry,dynamic psychiatria,app_sem_0489,no_semantic_change,token_partial_review,medium,translation_review
dyscalculia,dyscalculia,dyscalculia,app_sem_0490,no_semantic_change,untranslated_review,low,translation_review
dysfunctional attitude,dysfunctional attitude,dysfunkcjonalna postawa,app_sem_0491,no_semantic_change,glossary_exact,high,ok
dysfunctional attitudes,dysfunctional attitude,dysfunkcjonalna postawa,app_sem_0491,plural_to_concept:dysfunctional attitudes->dysfunctional attitude,glossary_exact,high,semantic_merge_audit
dysfunctional beliefs,dysfunctional beliefs,dysfunctional beliefs,app_sem_0492,no_semantic_change,untranslated_review,low,translation_review
dysorthography,dysorthography,dysorthography,app_sem_0493,no_semantic_change,untranslated_review,low,translation_review
dysphoria,dysphoria,dysphoria,app_sem_0494,no_semantic_change,untranslated_review,low,translation_review
e-learning,e-learning,e-learning,app_sem_0495,no_semantic_change,untranslated_review,low,translation_review
early adulthood,early adulthood,wczesna dorosłość,app_sem_0496,no_semantic_change,glossary_exact,high,ok
early childhood trauma,early childhood trauma,early childhood trauma,app_sem_0497,no_semantic_change,token_partial_review,medium,translation_review
early intervention,early intervention,wczesna interwencja,app_sem_0498,no_semantic_change,glossary_exact,high,ok
early maladaptive schemas,early maladaptive schemas,wczesne nieadaptacyjne schematy,app_sem_0499,no_semantic_change,glossary_exact,high,ok
early retirement,early retirement,early retirement,app_sem_0500,no_semantic_change,untranslated_review,low,translation_review
eartquake victims,eartquake victims,eartquake victims,app_sem_0501,no_semantic_change,untranslated_review,low,translation_review
east azerbaijian,east azerbaijian,east azerbaijian,app_sem_0502,no_semantic_change,untranslated_review,low,translation_review
east european psychiatrists,east european psychiatrists,psychiatrzy z Europy Wschodniej,app_sem_0503,no_semantic_change,glossary_exact,high,ok
eat-26,eat-26,EAT-26,app_sem_0504,no_semantic_change,glossary_exact,high,ok
eating,eating,jedzenie,app_sem_0505,no_semantic_change,token_full,high,ok
eating attitude,eating attitude,postawa wobec jedzenia,app_sem_0506,no_semantic_change,glossary_exact,high,ok
eating attitudes,eating attitude,postawa wobec jedzenia,app_sem_0506,plural_to_concept:eating attitudes->eating attitude,glossary_exact,high,semantic_merge_audit
eating behaviours,eating behaviors,jedzenie behaviors,app_sem_0507,spelling:behaviour->behavior,token_partial_review,medium,translation_review|semantic_merge_audit
eating disorder symptoms,eating disorder symptom,zaburzenie odżywiania objaw,app_sem_0509,plural_to_concept:eating disorder symptoms->eating disorder symptom,token_partial_review,medium,translation_review|semantic_merge_audit
eating disorders,eating disorder,zaburzenia odżywiania,app_sem_0508,plural_to_concept:eating disorders->eating disorder,glossary_exact,high,semantic_merge_audit
eating disorders awareness,eating disorders awareness,eating disorders awareness,app_sem_0510,no_semantic_change,untranslated_review,low,translation_review
eating disorders predictors,eating disorders predictors,eating disorders predictors,app_sem_0511,no_semantic_change,untranslated_review,low,translation_review
eating disorders subtypes,eating disorders subtypes,eating disorders subtypes,app_sem_0512,no_semantic_change,untranslated_review,low,translation_review
eating habits,eating habits,jedzenie habits,app_sem_0513,no_semantic_change,token_partial_review,medium,translation_review
eating styles,eating styles,jedzenie styles,app_sem_0514,no_semantic_change,token_partial_review,medium,translation_review
eclecticism,eclecticism,eclecticism,app_sem_0515,no_semantic_change,untranslated_review,low,translation_review
ecological anxiety,ecological anxiety,ecological lęk,app_sem_0516,no_semantic_change,token_partial_review,medium,translation_review
ecological perception,ecological perception,ecological perception,app_sem_0517,no_semantic_change,untranslated_review,low,translation_review
economic stresses,economic stresses,economic stresses,app_sem_0518,no_semantic_change,untranslated_review,low,translation_review
ect,ect,ect,app_sem_0519,no_semantic_change,untranslated_review,low,translation_review
editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial
editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit
editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit
editorial 3,editorial,editorial,app_sem_0520,exact_map:editorial 3->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit
editorial 4,editorial,editorial,app_sem_0520,exact_map:editorial 4->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit
editorial editorial 1,editorial editorial 1,editorial editorial 1,app_sem_0521,no_semantic_change,untranslated_review,low,translation_review
editorial1,editorial,editorial,app_sem_0520,exact_map:editorial1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit
editorial2,editorial,editorial,app_sem_0520,exact_map:editorial2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit
editoril 2,editorial,editorial,app_sem_0520,exact_map:editoril 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit
editors,editors,redaktorzy,app_sem_0522,no_semantic_change,glossary_exact,high,ok
education,education,edukacja,app_sem_0523,no_semantic_change,glossary_exact,high,ok
eeg-biofeedback,eeg-biofeedback,eeg-biofeedback,app_sem_0524,no_semantic_change,untranslated_review,low,translation_review
effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events,effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events,effect of schizofrenia and zaburzenie używania substancji on depressive objawy and stressful życie events,app_sem_0525,no_semantic_change,token_partial_review,medium,translation_review
effective counselor,effective counselor,effective counselor,app_sem_0526,no_semantic_change,untranslated_review,low,translation_review
effectiveness,effectiveness,skuteczność,app_sem_0527,no_semantic_change,glossary_exact,high,ok
effectivness,effectiveness,skuteczność,app_sem_0527,exact_map:effectivness->effectiveness,glossary_exact,high,semantic_merge_audit
efficacy profile,efficacy profile,skuteczność profile,app_sem_0528,no_semantic_change,token_partial_review,medium,translation_review
ego,ego,ego,app_sem_0529,no_semantic_change,untranslated_review,low,translation_review
egocentric,egocentric,egocentric,app_sem_0530,no_semantic_change,untranslated_review,low,translation_review
egosyntonicity,egosyntonicity,egosyntoniczność,app_sem_0531,no_semantic_change,glossary_exact,high,ok
egypt,egypt,egypt,app_sem_0532,no_semantic_change,untranslated_review,low,translation_review
elderly,elderly,osoby starsze,app_sem_0533,no_semantic_change,glossary_exact,high,ok
electroconvulsive therapy,electroconvulsive therapy,terapia elektrowstrząsowa,app_sem_0534,no_semantic_change,glossary_exact,high,ok
electrodermal activity,electrodermal activity,electrodermal activity,app_sem_0535,no_semantic_change,untranslated_review,low,translation_review
electronic communication,electronic communication,electronic communication,app_sem_0536,no_semantic_change,untranslated_review,low,translation_review
emergencies,emergencies,emergencies,app_sem_0537,no_semantic_change,untranslated_review,low,translation_review
emergency medicine residents,emergency medicine residents,emergency medicine residents,app_sem_0538,no_semantic_change,untranslated_review,low,translation_review
emotion focused training for emotion of self-compassion and self-protection,emotion focused training for emotion of self-compassion and self-protection,emocja focused training for emocja of ja-compassion and ja-protection,app_sem_0539,no_semantic_change,token_partial_review,medium,translation_review
emotion recognition,emotion recognition,rozpoznawanie emocji,app_sem_0540,no_semantic_change,glossary_exact,high,ok
emotion regulation,emotion regulation,regulacja emocji,app_sem_0541,no_semantic_change,glossary_exact,high,ok
emotion-focused coping,emotion-focused coping,emocja-focused radzenie sobie,app_sem_0542,no_semantic_change,token_partial_review,medium,translation_review
emotional abuse,emotional abuse,emocjonalny abuse,app_sem_0543,no_semantic_change,token_partial_review,medium,translation_review
emotional development,emotional development,emocjonalny development,app_sem_0544,no_semantic_change,token_partial_review,medium,translation_review
emotional disorders,emotional disorder,emocjonalny zaburzenie,app_sem_0545,plural_to_concept:emotional disorders->emotional disorder,token_full,high,semantic_merge_audit
emotional disposition,emotional disposition,emocjonalny disposition,app_sem_0546,no_semantic_change,token_partial_review,medium,translation_review
emotional eating,emotional eating,emocjonalny jedzenie,app_sem_0547,no_semantic_change,token_full,high,ok
emotional injury ocd,emotional injury ocd,emocjonalny injury ocd,app_sem_0548,no_semantic_change,token_partial_review,medium,translation_review
emotional instability,emotional instability,niestabilność emocjonalna,app_sem_0549,no_semantic_change,glossary_exact,high,ok
emotional intelligence,emotional intelligence,inteligencja emocjonalna,app_sem_0550,no_semantic_change,glossary_exact,high,ok
emotional labour,emotional labour,emocjonalny labour,app_sem_0551,no_semantic_change,token_partial_review,medium,translation_review
emotional processes,emotional processes,emocjonalny processes,app_sem_0552,no_semantic_change,token_partial_review,medium,translation_review
emotional reaction,emotional reaction,reakcja emocjonalna,app_sem_0553,no_semantic_change,glossary_exact,high,ok
emotional regulation,emotional regulation,emocjonalny regulacja,app_sem_0554,no_semantic_change,token_full,high,ok
emotional state,emotional state,emocjonalny state,app_sem_0555,no_semantic_change,token_partial_review,medium,translation_review
emotional symptoms,emotional symptom,emocjonalny objaw,app_sem_0556,plural_to_concept:emotional symptoms->emotional symptom,token_full,high,semantic_merge_audit
emotions,emotions,emocje,app_sem_0557,no_semantic_change,glossary_exact,high,ok
empathy,empathy,empatia,app_sem_0558,no_semantic_change,glossary_exact,high,ok
empathy_,empathy_,empathy_,app_sem_0559,no_semantic_change,untranslated_review,low,translation_review
ems,ems,ems,app_sem_0560,no_semantic_change,untranslated_review,low,translation_review
endurance training,endurance training,endurance training,app_sem_0561,no_semantic_change,untranslated_review,low,translation_review
engagement,engagement,engagement,app_sem_0562,no_semantic_change,untranslated_review,low,translation_review
environmental stressors,environmental stressors,environmental stressors,app_sem_0563,no_semantic_change,untranslated_review,low,translation_review
epidemic,epidemic,epidemia,app_sem_0564,no_semantic_change,glossary_exact,high,ok
epidemiological studies,epidemiological study,badanie epidemiologiczne,app_sem_0565,exact_map:epidemiological studies->epidemiological study,glossary_exact,high,semantic_merge_audit
epidemiological study,epidemiological study,badanie epidemiologiczne,app_sem_0565,no_semantic_change,glossary_exact,high,ok
epidemiology,epidemiology,epidemiologia,app_sem_0566,no_semantic_change,glossary_exact,high,ok
epidemiology of mental disorders in adolescence,epidemiology of mental disorders in adolescence,epidemiologia zaburzeń psychicznych w adolescencji,app_sem_0567,no_semantic_change,glossary_exact,high,ok
epilepsy,epilepsy,padaczka,app_sem_0568,no_semantic_change,glossary_exact,high,ok
epq-r,epq-r,epq-r,app_sem_0569,no_semantic_change,untranslated_review,low,translation_review
ericksonian parallel process,ericksonian parallel process,ericksonian parallel process,app_sem_0570,no_semantic_change,untranslated_review,low,translation_review
ericksonian supervision,ericksonian supervision,ericksonian supervision,app_sem_0571,no_semantic_change,untranslated_review,low,translation_review
ethical aspects,ethical aspects,ethical aspects,app_sem_0572,no_semantic_change,untranslated_review,low,translation_review
ethical dilemmas,ethical dilemmas,ethical dilemmas,app_sem_0573,no_semantic_change,untranslated_review,low,translation_review
ethical issues,ethical issues,ethical issues,app_sem_0574,no_semantic_change,untranslated_review,low,translation_review
ethics,ethics,ethics,app_sem_0575,no_semantic_change,untranslated_review,low,translation_review
etiology and symptomatology of paternal postnatal depression,etiology and symptomatology of paternal postnatal depression,etiology and symptomatology of paternal postnatal depresja,app_sem_0576,no_semantic_change,token_partial_review,medium,translation_review
evaluation of psychotherapy treatment,evaluation of psychotherapy treatment,evaluation of psychoterapia leczenie,app_sem_0577,no_semantic_change,token_partial_review,medium,translation_review
evidence,evidence,evidence,app_sem_0578,no_semantic_change,untranslated_review,low,translation_review
evolution,evolution,evolution,app_sem_0579,no_semantic_change,untranslated_review,low,translation_review
exam stress,exam stress,exam stres,app_sem_0580,no_semantic_change,token_partial_review,medium,translation_review
executive function,executive function,funkcje wykonawcze,app_sem_0581,no_semantic_change,glossary_exact,high,ok
executive functions,executive function,funkcje wykonawcze,app_sem_0581,plural_to_concept:executive functions->executive function,glossary_exact,high,semantic_merge_audit
exhaustion,exhaustion,exhaustion,app_sem_0582,no_semantic_change,untranslated_review,low,translation_review
existential cognitive-behavioral therapy,existential cognitive-behavioral therapy,existential poznawczy-behawioralny terapia,app_sem_0583,no_semantic_change,token_partial_review,medium,translation_review
experience,experience,experience,app_sem_0584,no_semantic_change,untranslated_review,low,translation_review
experience of trauma,experience of trauma,experience of trauma,app_sem_0585,no_semantic_change,token_partial_review,medium,translation_review
experience of values,experience of values,experience of values,app_sem_0586,no_semantic_change,untranslated_review,low,translation_review
experiencing scale,experiencing scale,experiencing skala,app_sem_0587,no_semantic_change,token_partial_review,medium,translation_review
experimental stress,experimental stress,experimental stres,app_sem_0588,no_semantic_change,token_partial_review,medium,translation_review
exploratory factor analysis,exploratory factor analysis,exploratory czynnik analysis,app_sem_0589,no_semantic_change,token_partial_review,medium,translation_review
exploratory study,exploratory study,exploratory badanie,app_sem_0590,no_semantic_change,token_partial_review,medium,translation_review
exposure therapy,exposure therapy,exposure terapia,app_sem_0591,no_semantic_change,token_partial_review,medium,translation_review
externalizing behaviors,externalizing behaviors,externalizing behaviors,app_sem_0592,no_semantic_change,untranslated_review,low,translation_review
extreme sports,extreme sports,extreme sports,app_sem_0593,no_semantic_change,untranslated_review,low,translation_review
eye movement desensitization and reprocessing,eye movement desensitization and reprocessing,eye movement desensitization and reprocessing,app_sem_0594,no_semantic_change,untranslated_review,low,translation_review
face-to-face therapy,face-to-face therapy,face-to-face terapia,app_sem_0595,no_semantic_change,token_partial_review,medium,translation_review
facial emotion,facial emotion,emocja mimiczna,app_sem_0596,no_semantic_change,glossary_exact,high,ok
facial expression,facial expression,ekspresja mimiczna,app_sem_0597,no_semantic_change,glossary_exact,high,ok
factor analyses,factor analyses,czynnik analyses,app_sem_0598,no_semantic_change,token_partial_review,medium,translation_review
factor analysis,factor analysis,czynnik analysis,app_sem_0599,no_semantic_change,token_partial_review,medium,translation_review
factors of compliance with the treatment regimen,factors of compliance with the treatment regimen,czynniki of compliance with the leczenie regimen,app_sem_0600,no_semantic_change,token_partial_review,medium,translation_review
faecal impaction,faecal impaction,faecal impaction,app_sem_0601,no_semantic_change,untranslated_review,low,translation_review
faecaloma,faecaloma,faecaloma,app_sem_0602,no_semantic_change,untranslated_review,low,translation_review
fahr's syndrome,fahr's syndrome,fahr's zespół,app_sem_0603,no_semantic_change,token_partial_review,medium,translation_review
failure,failure,failure,app_sem_0604,no_semantic_change,untranslated_review,low,translation_review
family,family,rodzina,app_sem_0605,no_semantic_change,glossary_exact,high,ok
family caregivers,family caregivers,rodzina caregivers,app_sem_0606,no_semantic_change,token_partial_review,medium,translation_review
family constellations,family constellations,rodzina constellations,app_sem_0607,no_semantic_change,token_partial_review,medium,translation_review
family consultation,family consultation,rodzina consultation,app_sem_0608,no_semantic_change,token_partial_review,medium,translation_review
family genogram interview,family genogram interview,rodzina genogram interview,app_sem_0609,no_semantic_change,token_partial_review,medium,translation_review
family history,family history,rodzina history,app_sem_0610,no_semantic_change,token_partial_review,medium,translation_review
family practice,family practice,rodzina practice,app_sem_0611,no_semantic_change,token_partial_review,medium,translation_review
family system,family system,rodzina system,app_sem_0612,no_semantic_change,token_partial_review,medium,translation_review
family system characteristics,family system characteristics,rodzina system characteristics,app_sem_0613,no_semantic_change,token_partial_review,medium,translation_review
family therapy,family therapy,terapia rodzinna,app_sem_0614,no_semantic_change,glossary_exact,high,ok
fanaticism,fanaticism,fanaticism,app_sem_0615,no_semantic_change,untranslated_review,low,translation_review
fear,fear,strach,app_sem_0616,no_semantic_change,glossary_exact,high,ok
feeding and eating disorders,feeding and eating disorder,feeding and eating disorder,app_sem_0617,plural_to_concept:feeding and eating disorders->feeding and eating disorder,untranslated_review,low,translation_review|semantic_merge_audit
females without mental disturbances,females without mental disturbance,females without psychiczny zaburzenie,app_sem_0618,plural_to_concept:females without mental disturbances->females without mental disturbance,token_partial_review,medium,translation_review|semantic_merge_audit
fetal alcohol syndrome,fetal alcohol syndrome,fetal alkohol zespół,app_sem_0619,no_semantic_change,token_partial_review,medium,translation_review
fg,fg,fg,app_sem_0620,no_semantic_change,untranslated_review,low,translation_review
fibromyalgia syndrome,fibromyalgia syndrome,zespół fibromialgii,app_sem_0621,no_semantic_change,glossary_exact,high,ok
fidelity,fidelity,fidelity,app_sem_0622,no_semantic_change,untranslated_review,low,translation_review
figure rating scale,figure rating scale,figure rating skala,app_sem_0623,no_semantic_change,token_partial_review,medium,translation_review
firefighters,firefighters,firefighters,app_sem_0624,no_semantic_change,untranslated_review,low,translation_review
first episode schizophrenia,first-episode schizophrenia,pierwszy epizod schizofrenii,app_sem_0630,exact_map:first episode schizophrenia->first-episode schizophrenia,glossary_exact,high,semantic_merge_audit
first person account,first person account,first person account,app_sem_0625,no_semantic_change,untranslated_review,low,translation_review
first psychosis,first psychosis,first psychosis,app_sem_0626,no_semantic_change,untranslated_review,low,translation_review
first-degree relatives,first-degree relatives,krewni pierwszego stopnia,app_sem_0627,no_semantic_change,glossary_exact,high,ok
first-episode,first-episode,pierwszy epizod,app_sem_0628,no_semantic_change,glossary_exact,high,ok
first-episode psychosis,first-episode psychosis,first-episode psychosis,app_sem_0629,no_semantic_change,untranslated_review,low,translation_review
first-episode schizophrenia,first-episode schizophrenia,pierwszy epizod schizofrenii,app_sem_0630,no_semantic_change,glossary_exact,high,ok
first-person account,first-person account,first-person account,app_sem_0631,no_semantic_change,untranslated_review,low,translation_review
fitness,fitness,fitness,app_sem_0632,no_semantic_change,untranslated_review,low,translation_review
five-factor model of personality,five-factor model of personality,five-czynnik model of osobowość,app_sem_0633,no_semantic_change,token_partial_review,medium,translation_review
fkbp5,fkbp5,fkbp5,app_sem_0634,no_semantic_change,untranslated_review,low,translation_review
flexibility,flexibility,elastyczność,app_sem_0635,no_semantic_change,glossary_exact,high,ok
flood,flood,powódź,app_sem_0636,no_semantic_change,glossary_exact,high,ok
fmri,fmri,fmri,app_sem_0637,no_semantic_change,untranslated_review,low,translation_review
follow-up,follow-up,follow-up,app_sem_0638,no_semantic_change,untranslated_review,low,translation_review
follow-up study,follow-up study,badanie follow-up,app_sem_0639,no_semantic_change,glossary_exact,high,ok
food restriction,food restriction,food restriction,app_sem_0640,no_semantic_change,untranslated_review,low,translation_review
for authors,for authors,for authors,app_sem_0641,no_semantic_change,untranslated_review,low,translation_review
forced treatment,forced treatment,forced leczenie,app_sem_0642,no_semantic_change,token_partial_review,medium,translation_review
forcible feeding,forcible feeding,forcible feeding,app_sem_0643,no_semantic_change,untranslated_review,low,translation_review
forensic psychiatry,forensic psychiatry,psychiatria sądowa,app_sem_0644,no_semantic_change,glossary_exact,high,ok
formulation,formulation,formułowanie przypadku,app_sem_0645,no_semantic_change,glossary_exact,high,ok
foster care,foster care,foster care,app_sem_0646,no_semantic_change,untranslated_review,low,translation_review
free association,free association,free association,app_sem_0647,no_semantic_change,untranslated_review,low,translation_review
frequency of comsumption of products,frequency of comsumption of products,frequency of comsumption of products,app_sem_0648,no_semantic_change,untranslated_review,low,translation_review
freud,freud,freud,app_sem_0649,no_semantic_change,untranslated_review,low,translation_review
from,from,FROM,app_sem_0650,no_semantic_change,glossary_exact,high,ok
frontal lobe syndrome,frontal lobe syndrome,frontal lobe zespół,app_sem_0651,no_semantic_change,token_partial_review,medium,translation_review
functional disorders,functional disorder,zaburzenie funkcjonalne,app_sem_0652,plural_to_concept:functional disorders->functional disorder,glossary_exact,high,semantic_merge_audit
fuzzy promethee,fuzzy promethee,fuzzy promethee,app_sem_0653,no_semantic_change,untranslated_review,low,translation_review
galvanic skin response,galvanic skin response,galvanic skin response,app_sem_0654,no_semantic_change,untranslated_review,low,translation_review
gay,gay,gay,app_sem_0655,no_semantic_change,untranslated_review,low,translation_review
gender,gender,płeć społeczno-kulturowa,app_sem_0656,no_semantic_change,glossary_exact,high,ok
gender difference,gender difference,płeć difference,app_sem_0657,no_semantic_change,token_partial_review,medium,translation_review
gender dysphoria in children,gender dysphoria in children,płeć dysphoria in dzieci,app_sem_0658,no_semantic_change,token_partial_review,medium,translation_review
gender identity,gender identity,płeć identity,app_sem_0659,no_semantic_change,token_partial_review,medium,translation_review
gender identity in childhood,gender identity in childhood,płeć identity in childhood,app_sem_0660,no_semantic_change,token_partial_review,medium,translation_review
