keyword_concept_en_final,keyword_concept_polish_final,n_records,method,review_flag_3c
experience,experience,1,fallback_untranslated_or_international,ok
experience of values,experience of wartości,1,fallback_phrase_translation,ok
exploratory factor analysis,exploratory factor analysis,1,fallback_untranslated_or_international,ok
engagement,engagement,1,fallback_untranslated_or_international,ok
epidemiology,epidemiology,1,fallback_untranslated_or_international,ok
epq-r,epq-r,1,fallback_untranslated_or_international,ok
ericksonian parallel process,ericksonian parallel process,1,fallback_untranslated_or_international,ok
ericksonian supervision,ericksonian supervision,1,fallback_untranslated_or_international,ok
ethical aspects,ethical aspects,1,fallback_untranslated_or_international,ok
ethical dilemmas,ethical dilemmas,1,fallback_untranslated_or_international,ok
ethical issues,ethical issues,1,fallback_untranslated_or_international,ok
fanaticism,fanaticism,1,fallback_untranslated_or_international,ok
females without mental disturbance,females without psychiczny disturbance,1,fallback_phrase_translation,ok
fetal alcohol syndrome,fetal alkohol zespół,1,previous_polish_retained,ok
fg,fg,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
fidelity,fidelity,1,fallback_untranslated_or_international,ok
firefighters,firefighters,1,fallback_untranslated_or_international,ok
first person account,first person account,1,fallback_untranslated_or_international,ok
first-person account,first-person account,1,fallback_untranslated_or_international,ok
coherence,coherence,1,fallback_untranslated_or_international,ok
common factor,common factor,1,fallback_untranslated_or_international,ok
communication,communication,1,fallback_untranslated_or_international,ok
communication competences,communication competences,1,fallback_untranslated_or_international,ok
community,community,1,fallback_untranslated_or_international,ok
community care,community care,1,fallback_untranslated_or_international,ok
fahr's syndrome,fahr's zespół,1,previous_polish_retained,ok
failure,failure,1,fallback_untranslated_or_international,ok
cognitive dysmetria,poznawczy dysmetria,1,fallback_phrase_translation,ok
cognitive flexibility,poznawczy flexibility,1,fallback_phrase_translation,ok
cognitive inhibition,poznawczy inhibition,1,fallback_phrase_translation,ok
cognitive processing therapy,poznawczy processing terapia,1,fallback_phrase_translation,ok
cognitive restraint,poznawczy restraint,1,fallback_phrase_translation,ok
cognitive restructuring,poznawczy restructuring,1,fallback_phrase_translation,ok
cognitive rigidity,poznawczy rigidity,1,fallback_phrase_translation,ok
cognitive triad,poznawczy triad,1,fallback_phrase_translation,ok
co-dependence,co-uzależnienie,1,previous_polish_retained,ok
co-dependent mothers,co-dependent mothers,1,fallback_untranslated_or_international,ok
co2,co2,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
code of ethics,code of ethics,1,fallback_untranslated_or_international,ok
codependency,codependency,1,fallback_untranslated_or_international,ok
cognitive appraisal,poznawczy appraisal,1,fallback_phrase_translation,ok
cognitive approach,poznawczy approach,1,fallback_phrase_translation,ok
cognitive biases,poznawczy biases,1,fallback_phrase_translation,ok
gg,gg,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
gh,gh,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
giftedness,giftedness,1,fallback_untranslated_or_international,ok
gingivitis,gingivitis,1,fallback_untranslated_or_international,ok
glutamic acid,glutamic acid,1,fallback_untranslated_or_international,ok
glycine,glycine,1,fallback_untranslated_or_international,ok
grandparents,grandparents,1,fallback_untranslated_or_international,ok
grounded theory methodology,grounded theory methodology,1,fallback_untranslated_or_international,ok
gene,gene,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
gene mutation,gene mutation,1,fallback_untranslated_or_international,ok
gene polymorphism,gene polimorfizm,1,fallback_phrase_translation,ok
gene-environment interaction,gene-environment interaction,1,fallback_untranslated_or_international,ok
general factor specification,general factor specification,1,fallback_untranslated_or_international,ok
general self-efficacy,general poczucie własnej skuteczności,1,fallback_phrase_translation,ok
genes,genes,1,fallback_untranslated_or_international,ok
gestational diabetes,gestational cukrzyca,1,fallback_phrase_translation,ok
foster care,foster care,1,fallback_untranslated_or_international,ok
free association,free association,1,fallback_untranslated_or_international,ok
frequency of comsumption of products,frequency of comsumption of products,1,fallback_untranslated_or_international,ok
freud,freud,1,fallback_untranslated_or_international,ok
frontal lobe syndrome,frontal lobe zespół,1,previous_polish_retained,ok
fuzzy promethee,fuzzy promethee,1,fallback_untranslated_or_international,ok
galvanic skin response,galvanic skin response,1,fallback_untranslated_or_international,ok
gay,gay,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
fitness,fitness,1,fallback_untranslated_or_international,ok
five-factor model of personality,five-czynnik model of osobowość,1,previous_polish_retained,ok
fkbp5,fkbp5,1,fallback_untranslated_or_international,ok
follow-up,follow-up,1,fallback_untranslated_or_international,ok
food restriction,food restriction,1,fallback_untranslated_or_international,ok
for authors,for authors,1,fallback_untranslated_or_international,ok
forced treatment,forced leczenie,1,fallback_phrase_translation,ok
forcible feeding,forcible feeding,1,fallback_untranslated_or_international,ok
hh,hh,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
high sensitive c-reactive protein,high sensitive c-reactive protein,1,fallback_untranslated_or_international,ok
high-interval intensity training,high-interval intensity training,1,fallback_untranslated_or_international,ok
history of polish psychiatry,history of polish psychiatry,1,fallback_untranslated_or_international,ok
hiv,hiv,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
hj,hj,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
home care services,home care services,1,fallback_untranslated_or_international,ok
homicide,homicide,1,fallback_untranslated_or_international,ok
health workers,zdrowie workers,1,fallback_phrase_translation,ok
health-related behavior,zdrowie-related behavior,1,fallback_phrase_translation,ok
healthcare professionals,healthcare professionals,1,fallback_untranslated_or_international,strong_review_non_substantive_or_metadata
healthy subjects,healthy subjects,1,fallback_untranslated_or_international,ok
heart transplantation,heart transplantation,1,fallback_untranslated_or_international,ok
helplessness,helplessness,1,fallback_untranslated_or_international,ok
hemodialysis,hemodialysis,1,fallback_untranslated_or_international,ok
hepatitis c,hepatitis c,1,fallback_untranslated_or_international,ok
harm reduction,harm reduction,1,fallback_untranslated_or_international,ok
hashimoto's disease,hashimoto's disease,1,fallback_untranslated_or_international,ok
health,zdrowie,1,fallback_phrase_translation,ok
health 2.0,zdrowie 2.0,1,fallback_phrase_translation,ok
health care providers,zdrowie care providers,1,fallback_phrase_translation,ok
health care workers,zdrowie care workers,1,fallback_phrase_translation,ok
health care workers (hcws),zdrowie care workers (hcws),1,fallback_phrase_translation,ok
health food,zdrowie food,1,fallback_phrase_translation,ok
group process,group process,1,fallback_untranslated_or_international,ok
growth resources model,growth resources model,1,fallback_untranslated_or_international,ok
gsdsii,gsdsii,1,fallback_untranslated_or_international,ok
guided discovery,guided discovery,1,fallback_untranslated_or_international,ok
guided mastery,guided mastery,1,fallback_untranslated_or_international,ok
guided self-management program for patients,guided self-management program for pacjenci,1,fallback_phrase_translation,ok
hallucinogenic space,hallucinogenic space,1,fallback_untranslated_or_international,ok
haplotype,haplotype,1,fallback_untranslated_or_international,ok
impasse,impasse,1,fallback_untranslated_or_international,ok
impulsive and restrictive behaviors,impulsive and restrictive behaviors,1,fallback_untranslated_or_international,ok
cerebellum,cerebellum,1,fallback_untranslated_or_international,ok
cerebral and cerebellar atrophy,cerebral and cerebellar atrophy,1,fallback_untranslated_or_international,ok
cftmea,cftmea,1,fallback_untranslated_or_international,ok
change,change,1,fallback_untranslated_or_international,ok
change in consultation frequency,change in consultation frequency,1,fallback_untranslated_or_international,ok
childbearing age women,childbearing age women,1,fallback_untranslated_or_international,ok
icd,icd,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
idealization,idealization,1,fallback_untranslated_or_international,ok
identification,identification,1,fallback_untranslated_or_international,ok
identity quest,tożsamość quest,1,fallback_phrase_translation,ok
igf1/2,igf1 / 2,1,fallback_phrase_translation,ok
igfbp1-6,igfbp1-6,1,fallback_untranslated_or_international,ok
imaginary and symbolic elaboration,imaginary and symbolic elaboration,1,fallback_untranslated_or_international,ok
immunology,immunology,1,fallback_untranslated_or_international,ok
hyperthymic,hyperthymic,1,fallback_untranslated_or_international,ok
hyperthyroidism,hyperthyroidism,1,fallback_untranslated_or_international,ok
hypnoanalysis,hypnoanalysis,1,fallback_untranslated_or_international,ok
hypochondriasis,hypochondriasis,1,fallback_untranslated_or_international,ok
hypomania check list-32,hypomania check list-32,1,fallback_untranslated_or_international,ok
hypothyroidism,hypothyroidism,1,fallback_untranslated_or_international,ok
i agree,i agree,1,fallback_untranslated_or_international,ok
i do not agree,i do not agree,1,fallback_untranslated_or_international,ok
hope,hope,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
hospitalisations,hospitalisations,1,fallback_untranslated_or_international,ok
hpa axis,hpa axis,1,fallback_untranslated_or_international,ok
hplc,hplc,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
human destructiveness,human destructiveness,1,fallback_untranslated_or_international,ok
hunger strike,hunger strike,1,fallback_untranslated_or_international,ok
hyperprolactinemia,hyperprolactinemia,1,fallback_untranslated_or_international,ok
hypertension-mediated organ damage,hypertension-mediated organ damage,1,fallback_untranslated_or_international,ok
indigenous peoples of the north siberia,indigenous peoples of the north siberia,1,fallback_untranslated_or_international,ok
individual barriers to taking medications,individual barriers to taking medications,1,fallback_untranslated_or_international,ok
individual differences,individual differences,1,fallback_untranslated_or_international,ok
infant,infant,1,fallback_untranslated_or_international,ok
infant observation,infant observation,1,fallback_untranslated_or_international,ok
infectious diseases,infectious diseases,1,fallback_untranslated_or_international,ok
inference,inference,1,fallback_untranslated_or_international,ok
inflammation,inflammation,1,fallback_untranslated_or_international,ok
clinical intuition,kliniczny intuition,1,fallback_phrase_translation,ok
clinical philosophy,kliniczny philosophy,1,fallback_phrase_translation,ok
clinical psychology,kliniczny psychology,1,fallback_phrase_translation,ok
impulsiveness,impulsiveness,1,fallback_untranslated_or_international,ok
incapacity for service,incapacity for service,1,fallback_untranslated_or_international,ok
incest,incest,1,fallback_untranslated_or_international,ok
incompetence/incapacity,incompetence / incapacity,1,fallback_phrase_translation,ok
indications to the therapy,indications to the terapia,1,fallback_phrase_translation,ok
chronic renal failure,przewlekły renal failure,1,previous_polish_retained,ok
chronically mentally ill,chronically mentally ill,1,fallback_untranslated_or_international,ok
citalopram,citalopram,1,fallback_untranslated_or_international,ok
classification trees,classification trees,1,fallback_untranslated_or_international,ok
client challenges,client challenges,1,fallback_untranslated_or_international,ok
climate change,climate change,1,fallback_untranslated_or_international,ok
clinical factor,kliniczny factor,1,fallback_phrase_translation,ok
clinical high risk,kliniczny high risk,1,fallback_phrase_translation,ok
childbirth,childbirth,1,fallback_untranslated_or_international,ok
childhood adversity,dzieciństwo adversity,1,fallback_phrase_translation,ok
childhood maltreatment,dzieciństwo maltreatment,1,fallback_phrase_translation,ok
chromosome 17,chromosome 17,1,fallback_untranslated_or_international,ok
chronic disease,przewlekły choroba,1,previous_polish_retained,ok
chronic fatigue,przewlekły fatigue,1,previous_polish_retained,ok
chronic low backache,przewlekły low backache,1,previous_polish_retained,ok
chronic mentally ill persons,przewlekły mentally ill persons,1,previous_polish_retained,ok
intimacy,intimacy,1,fallback_untranslated_or_international,ok
intimate partner violence,intimate partner przemoc,1,fallback_phrase_translation,ok
intolerance of uncertainty,intolerance of uncertainty,1,fallback_untranslated_or_international,ok
introject,introject,1,fallback_untranslated_or_international,ok
invalidity,invalidity,1,fallback_untranslated_or_international,ok
involvement,involvement,1,fallback_untranslated_or_international,ok
iran,iran,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
irritable bowel syndrome,irritable bowel zespół,1,previous_polish_retained,ok
interferon-beta,interferon-beta,1,fallback_untranslated_or_international,ok
internal illnesses,internal illnesses,1,fallback_untranslated_or_international,ok
internet,internet,1,fallback_untranslated_or_international,ok
interpersonal,interpersonal,1,fallback_untranslated_or_international,ok
interpersonal patterns,interpersonal patterns,1,fallback_untranslated_or_international,ok
interpersonal relational patterns,interpersonal relational patterns,1,fallback_untranslated_or_international,ok
interpersonal relationships,interpersonal relationships,1,fallback_untranslated_or_international,ok
intervention studies,interwencja studies,1,fallback_phrase_translation,ok
insulin pump,insulin pump,1,fallback_untranslated_or_international,ok
insulin resistance,insulin resistance,1,fallback_untranslated_or_international,ok
integrated quantitative and qualitative research methodology,integrated quantitative and qualitative research methodology,1,fallback_untranslated_or_international,ok
integration,integration,1,fallback_untranslated_or_international,ok
integrity analysis,integrity analysis,1,fallback_untranslated_or_international,ok
interceptive exposure,interceptive exposure,1,fallback_untranslated_or_international,ok
interdisciplinary cooperation,interdisciplinary cooperation,1,fallback_untranslated_or_international,ok
interferon,interferon,1,fallback_untranslated_or_international,ok
influx,napływ,1,previous_polish_retained,ok
information resource,information resource,1,fallback_untranslated_or_international,ok
inhibitory iu,inhibitory iu,1,fallback_untranslated_or_international,ok
inmates,inmates,1,fallback_untranslated_or_international,ok
inner harmony,inner harmony,1,fallback_untranslated_or_international,ok
innovations,innovations,1,fallback_untranslated_or_international,ok
instinct,instinct,1,fallback_untranslated_or_international,ok
instinctive traits,instinctive traits,1,fallback_untranslated_or_international,ok
lithuania,lithuania,1,fallback_untranslated_or_international,ok
locked psychiatric ward,locked psychiatryczny ward,1,fallback_phrase_translation,ok
long-acting injectable depot formulation,long-acting injectable depot formulation,1,fallback_untranslated_or_international,ok
long-term treatment,long-term leczenie,1,fallback_phrase_translation,ok
longitudinal two-wave study,longitudinal two-wave study,1,fallback_untranslated_or_international,ok
luts,luts,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
major resistance,major resistance,1,fallback_untranslated_or_international,ok
manganese superoxide dismutase,manganese superoxide dismutase,1,fallback_untranslated_or_international,ok
lc,lc,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
left ventricular hypertrophy,left ventricular hypertrophy,1,fallback_untranslated_or_international,ok
lesch typology,lesch typology,1,fallback_untranslated_or_international,ok
leucotomy,leucotomy,1,fallback_untranslated_or_international,ok
libido,libido,1,fallback_untranslated_or_international,ok
life experience,życie experience,1,previous_polish_retained,ok
lipedema,lipedema,1,fallback_untranslated_or_international,ok
lipomatosis,lipomatosis,1,fallback_untranslated_or_international,ok
keywords: acting on delusions,keywords: acting on delusions,1,fallback_untranslated_or_international,ok
kidney failure,kidney failure,1,fallback_untranslated_or_international,ok
kluver-bucy syndrome,kluver-bucy zespół,1,previous_polish_retained,ok
knowledge,knowledge,1,fallback_untranslated_or_international,ok
lacosamide,lacosamide,1,fallback_untranslated_or_international,ok
language,language,1,fallback_untranslated_or_international,ok
language exercises,language exercises,1,fallback_untranslated_or_international,ok
language training program,language training program,1,fallback_untranslated_or_international,ok
itch,itch,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
iv users,iv users,1,fallback_untranslated_or_international,ok
jerzy w. aleksandrowicz,jerzy w. aleksandrowicz,1,fallback_untranslated_or_international,ok
jewish resistance,jewish resistance,1,fallback_untranslated_or_international,ok
jews,jews,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
jizz,jizz,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
juridical problem,juridical problem,1,fallback_untranslated_or_international,ok
keywords index,keywords index,1,fallback_untranslated_or_international,ok
medical statistics,medical statistics,1,fallback_untranslated_or_international,ok
medical stuff,medical stuff,1,fallback_untranslated_or_international,ok
medical workers,medical workers,1,fallback_untranslated_or_international,ok
meditation,meditation,1,fallback_untranslated_or_international,ok
memantine,memantine,1,fallback_untranslated_or_international,ok
mental contamination,psychiczny contamination,1,fallback_phrase_translation,ok
meta-analysis,meta-analysis,1,fallback_untranslated_or_international,ok
metacognition,metacognition,1,fallback_untranslated_or_international,ok
mediational perspective,mediational perspective,1,fallback_untranslated_or_international,ok
medical (clinical) psychology,medical (kliniczny) psychology,1,fallback_phrase_translation,ok
medical commission,medical commission,1,fallback_untranslated_or_international,ok
medical examination,medical examination,1,fallback_untranslated_or_international,ok
medical marihuana,medical marihuana,1,fallback_untranslated_or_international,ok
medical outpatients,medical outpatients,1,fallback_untranslated_or_international,ok
medical psychology,medical psychology,1,fallback_untranslated_or_international,ok
medical speciality,medical speciality,1,fallback_untranslated_or_international,ok
mastectomy,mastectomy,1,fallback_untranslated_or_international,ok
mastery,mastery,1,fallback_untranslated_or_international,ok
material loss,material loss,1,fallback_untranslated_or_international,ok
maternal behavior,maternal behavior,1,fallback_untranslated_or_international,ok
meaning in life,sens życia,1,previous_polish_retained,ok
meaning systems,meaning systems,1,fallback_untranslated_or_international,ok
mechanisms,mechanisms,1,fallback_untranslated_or_international,ok
media,media,1,fallback_untranslated_or_international,ok
manipulation,manipulation,1,fallback_untranslated_or_international,ok
manuls,manuls,1,fallback_untranslated_or_international,ok
marihuana,marihuana,1,fallback_untranslated_or_international,ok
marijuana,marijuana,1,fallback_untranslated_or_international,ok
marital,marital,1,fallback_untranslated_or_international,ok
marital relations,marital relations,1,fallback_untranslated_or_international,ok
marital satisfaction,marital satisfaction,1,fallback_untranslated_or_international,ok
masquerade,masquerade,1,fallback_untranslated_or_international,ok
moral disgust,moralny wstręt,1,fallback_phrase_translation,ok
moral emotions,moralny emocje,1,fallback_phrase_translation,ok
more,więcej,1,direct_rare_glossary,strong_review_non_substantive_or_metadata
mortality,mortality,1,fallback_untranslated_or_international,ok
motivation to exercise,motivation to exercise,1,fallback_untranslated_or_international,ok
motivational aspects of treatment,motivational aspects of leczenie,1,fallback_phrase_translation,ok
motivational interviewing,motivational interviewing,1,fallback_untranslated_or_international,ok
motor inhibition,motor inhibition,1,fallback_untranslated_or_international,ok
mixed methods,mixed metody,1,fallback_phrase_translation,ok
mixed state,mixed state,1,fallback_untranslated_or_international,ok
mobile phone,telefon komórkowy,1,fallback_phrase_translation,ok
models of delusions,modele urojeń,1,direct_rare_glossary,ok
monotherpen,monoterpen,1,direct_rare_glossary,strong_review_typo_or_garbled_term
mood,nastrój,1,fallback_phrase_translation,ok
mood disorder,nastrój zaburzenie,1,fallback_phrase_translation,ok
moral agent,moralny agent,1,fallback_phrase_translation,ok
midwifery,położnictwo,1,fallback_phrase_translation,ok
migraine,migrena,1,fallback_phrase_translation,ok
military population,populacja wojskowa,1,direct_rare_glossary,ok
mindful eating,mindful eating,1,fallback_untranslated_or_international,ok
mirror processes,mirror processes,1,fallback_untranslated_or_international,ok
misdiagnosis,błędna diagnoza,1,fallback_phrase_translation,ok
mismatch,niedopasowanie,1,direct_rare_glossary,ok
misophonia,mizofonia,1,fallback_phrase_translation,ok
metacognitive beliefs,metacognitive beliefs,1,fallback_untranslated_or_international,ok
metaphors,metaphors,1,fallback_untranslated_or_international,ok
methadone,methadone,1,fallback_untranslated_or_international,ok
methamphetamine users,methamphetamine users,1,fallback_untranslated_or_international,ok
methodology problems,methodology problems,1,fallback_untranslated_or_international,ok
microbiome,microbiome,1,fallback_untranslated_or_international,ok
microsphere galenics,galenika mikrosfer,1,direct_rare_glossary,ok
midazolam,midazolam,1,direct_rare_glossary,ok
cbcl score,cbcl score,1,fallback_untranslated_or_international,ok
cerebellar,cerebellar,1,fallback_untranslated_or_international,ok
mr therapy,mr terapia,1,fallback_phrase_translation,ok
multi-criteria,multi-criteria,1,fallback_untranslated_or_international,ok
multidisciplinary treatment,multidisciplinary leczenie,1,fallback_phrase_translation,ok
multiple sclerosis,stwardnienie rozsiane,1,fallback_phrase_translation,ok
multiple sclerosis (ms),stwardnienie rozsiane (SM),1,direct_rare_glossary,ok
music therapy,music terapia,1,fallback_phrase_translation,ok
car,car,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
cardiac syndrome x,cardiac zespół x,1,previous_polish_retained,ok
cardiovascular risk,cardiovascular risk,1,fallback_untranslated_or_international,ok
care relationship,care relationship,1,fallback_untranslated_or_international,ok
caregiver,caregiver,1,fallback_untranslated_or_international,ok
caregivers,caregivers,1,fallback_untranslated_or_international,ok
catatonia,catatonia,1,fallback_untranslated_or_international,ok
caudate nucleus,caudate nucleus,1,fallback_untranslated_or_international,ok
breastfeeding self-efficacy,breastfeeding poczucie własnej skuteczności,1,fallback_phrase_translation,ok
breath-holding,breath-holding,1,fallback_untranslated_or_international,ok
brief intervention,brief interwencja,1,fallback_phrase_translation,ok
broken heart,broken heart,1,fallback_untranslated_or_international,ok
bulling,bulling,1,fallback_untranslated_or_international,ok
buprenorphine,buprenorphine,1,fallback_untranslated_or_international,ok
burden,burden,1,fallback_untranslated_or_international,ok
capacity,capacity,1,fallback_untranslated_or_international,ok
brain-derived neurotrophic factor (bdnf) gene,brain-derived neurotrophic factor (bdnf) gene,1,fallback_untranslated_or_international,ok
brainspotting therapy,brainspotting terapia,1,fallback_phrase_translation,ok
brca gene mutation,brca gene mutation,1,fallback_untranslated_or_international,ok
brca2,brca2,1,fallback_untranslated_or_international,ok
break up,break up,1,fallback_untranslated_or_international,ok
breast cancer,breast cancer,1,fallback_untranslated_or_international,ok
breast reduction surgery,breast reduction surgery,1,fallback_untranslated_or_international,ok
breastfeeding,breastfeeding,1,fallback_untranslated_or_international,ok
night terror,night terror,1,fallback_untranslated_or_international,ok
nmda,NMDA,1,direct_rare_glossary,ok
non-clinical sample,próba niekliniczna,1,direct_rare_glossary,ok
non-competitive bodybuilding,kulturystyka nierywalizacyjna,1,direct_rare_glossary,ok
nonadherence,nieprzestrzeganie zaleceń,1,direct_rare_glossary,ok
nonverbal and verbal communication,komunikacja niewerbalna i werbalna,1,direct_rare_glossary,ok
normal vaginal delivery,poród drogami natury,1,direct_rare_glossary,ok
normal weight,prawidłowa masa ciała,1,fallback_phrase_translation,ok
neurotransmitter,neurotransmitter,1,fallback_untranslated_or_international,ok
neurotrophic tyrosine receptor kinase,neurotrophic tyrosine receptor kinase,1,fallback_untranslated_or_international,ok
neurotrophin factor (bdnf),neurotrophin factor (bdnf),1,fallback_untranslated_or_international,ok
neurotrophins,neurotrophins,1,fallback_untranslated_or_international,ok
neutrophil lymphocyte ratio,neutrophil lymphocyte ratio,1,fallback_untranslated_or_international,ok
newsletter,newsletter,1,fallback_untranslated_or_international,ok
newsletter 2,newsletter 2,1,fallback_untranslated_or_international,ok
nigeria,nigeria,1,fallback_untranslated_or_international,ok
neuropsychiatric manifestations,neuropsychiatryczny manifestations,1,fallback_phrase_translation,ok
neuropsychiatry,neuropsychiatria,1,fallback_phrase_translation,ok
neuropsychological symptom,neuropsychologiczny objaw,1,fallback_phrase_translation,ok
neurosis,nerwica,1,fallback_phrase_translation,ok
neurotic conflict,neurotic conflict,1,fallback_untranslated_or_international,ok
neurotic disorders symptom,neurotic zaburzenia objaw,1,fallback_phrase_translation,ok
neurotic personality,nerwicowy osobowość,1,previous_polish_retained,ok
neurotransmission,neurotransmission,1,fallback_untranslated_or_international,ok
myofascial pain,myofascial ból,1,previous_polish_retained,ok
negative affects,afekty negatywne,1,fallback_phrase_translation,ok
negative urgency,popędliwość negatywna,1,fallback_phrase_translation,ok
neurodevelopmental hypothesis,neurodevelopmental hypothesis,1,fallback_untranslated_or_international,ok
neurofibromatosis 1,nerwiakowłókniakowatość typu 1,1,direct_rare_glossary,ok
neuroleptic treatment,neuroleptic leczenie,1,fallback_phrase_translation,ok
neuromodulation,neuromodulacja,1,fallback_phrase_translation,ok
neuropsychiatric disease,neuropsychiatryczny disease,1,fallback_phrase_translation,ok
oxytocin,oksytocyna,1,fallback_phrase_translation,ok
pair bonding,więź partnerska,1,direct_rare_glossary,ok
palliative care,opieka paliatywna,1,fallback_phrase_translation,ok
panic,panic,1,fallback_untranslated_or_international,ok
panss,PANSS,1,direct_rare_glossary,ok
paper,artykuł,1,fallback_phrase_translation,strong_review_non_substantive_or_metadata
parameters of mobilisation of the unconscious,parametry of mobilisation of the unconscious,1,fallback_phrase_translation,ok
parental attitude,parental postawa,1,fallback_phrase_translation,ok
online support,online wsparcie,1,fallback_phrase_translation,ok
online therapy,online terapia,1,fallback_phrase_translation,ok
oral care,opieka stomatologiczna,1,fallback_phrase_translation,ok
organicity,organiczność,1,direct_rare_glossary,ok
organization,organizacja,1,fallback_phrase_translation,strong_review_non_substantive_or_metadata
osteogenesis imperfect,osteogenesis imperfect,1,fallback_untranslated_or_international,ok
osteology,osteology,1,fallback_untranslated_or_international,ok
overdoses,przedawkowania,1,fallback_phrase_translation,ok
object relations,relacje z obiektem,1,fallback_phrase_translation,ok
ocrds,OCRD,1,direct_rare_glossary,ok
offenders,sprawcy,1,fallback_phrase_translation,ok
olfactory obsessions,węchowy obsesje,1,fallback_phrase_translation,ok
oligonucleotide microarray,oligonucleotide microarray,1,fallback_untranslated_or_international,ok
oms guidelines,oms guidelines,1,fallback_untranslated_or_international,ok
online e-diaries,e-dzienniczki online,1,direct_rare_glossary,ok
online help,pomoc online,1,fallback_phrase_translation,ok
normative criteria,kryteria normatywne,1,direct_rare_glossary,ok
nosology,nozologia,1,fallback_phrase_translation,ok
novel therapy,novel terapia,1,fallback_phrase_translation,ok
nurses,pielęgniarki,1,fallback_phrase_translation,ok
nutrition,odżywianie,1,fallback_phrase_translation,ok
o-demethylvenlafaxine,o-demethylvenlafaxine,1,fallback_untranslated_or_international,ok
o-life,o-życie,1,previous_polish_retained,ok
oab,OAB,1,direct_rare_glossary,ok
perception of illness,postrzeganie choroby,1,direct_rare_glossary,ok
periodontal health,periodontal zdrowie,1,fallback_phrase_translation,ok
person-oriented psychiatry,person-oriented psychiatry,1,fallback_untranslated_or_international,ok
personal autonomy,autonomia osobista,1,direct_rare_glossary,ok
personal therapy,osobisty terapia,1,fallback_phrase_translation,ok
personal values,wartości osobiste,1,direct_rare_glossary,ok
personality system interactions-psi,osobowość system interactions-psi,1,previous_polish_retained,ok
personality tests,osobowość tests,1,previous_polish_retained,ok
patients' needs,potrzeby pacjentów,1,direct_rare_glossary,ok
pax-6 gene,gen PAX-6,1,direct_rare_glossary,ok
peer,peer,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
peer support,peer wsparcie,1,fallback_phrase_translation,ok
people 60+,osoby 60+,1,direct_rare_glossary,ok
perceived control,postrzegana kontrola,1,direct_rare_glossary,ok
perception,percepcja,1,fallback_phrase_translation,ok
perception of aggression,percepcja of agresja,1,fallback_phrase_translation,ok
pathlogical worry,patologiczne zamartwianie się,1,direct_rare_glossary,ok
pathogen disgust,patogenowy wstręt,1,fallback_phrase_translation,ok
pathological,patologiczny,1,fallback_phrase_translation,ok
pathological skin picking,patologiczne skubanie skóry,1,direct_rare_glossary,ok
pathological traits,cechy patologiczne,1,direct_rare_glossary,ok
pathology,patologia,1,fallback_phrase_translation,ok
patients,pacjenci,1,fallback_phrase_translation,ok
patients age,wiek pacjentów,1,direct_rare_glossary,ok
parenthood,rodzicielstwo,1,fallback_phrase_translation,ok
parentification,parentification,1,fallback_untranslated_or_international,ok
parkinson's disease,parkinson's disease,1,fallback_untranslated_or_international,ok
passivity,bierność,1,direct_rare_glossary,ok
paternal behavior,paternal behavior,1,fallback_untranslated_or_international,ok
paternal prenatal bonding,paternal prenatal bonding,1,fallback_untranslated_or_international,ok
paternal-fetal attachment,paternal-fetal przywiązanie,1,previous_polish_retained,ok
paternalism,paternalism,1,fallback_untranslated_or_international,ok
post-discharge,po wypisie,1,direct_rare_glossary,ok
postmodernism,postmodernizm,1,direct_rare_glossary,ok
practicioner,praktyk,1,direct_rare_glossary,strong_review_non_substantive_or_metadata|strong_review_typo_or_garbled_term
preclinical stage,etap przedkliniczny,1,direct_rare_glossary,ok
predictors,predyktory,1,direct_rare_glossary,ok
prescription,prescription,1,fallback_untranslated_or_international,ok
pretherapy waiting,pretherapy waiting,1,fallback_untranslated_or_international,ok
prevention and control,profilaktyka and control,1,fallback_phrase_translation,ok
polish myths,polskie mity,1,direct_rare_glossary,ok
polish patriotism myths,polskie mity patriotyczne,1,direct_rare_glossary,ok
polymorphism,polimorfizm,1,fallback_phrase_translation,ok
population norms,populacja norms,1,fallback_phrase_translation,ok
pornography,pornografia,1,fallback_phrase_translation,ok
positive affects,afekty pozytywne,1,fallback_phrase_translation,ok
positive urgency,popędliwość pozytywna,1,fallback_phrase_translation,ok
