keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,n
core conflictual relationship theme,core conflictual relationship theme,core conflictual relacja theme,app_sem_0360,no_semantic_change,token_partial_review,medium,translation_review,1
core conflictual relationship theme method,core conflictual relationship theme method,core conflictual relacja theme method,app_sem_0361,no_semantic_change,token_partial_review,medium,translation_review,1
coronary diseases,coronary diseases,coronary diseases,app_sem_0364,no_semantic_change,untranslated_review,low,translation_review,1
coronary surgery,coronary surgery,coronary surgery,app_sem_0365,no_semantic_change,untranslated_review,low,translation_review,1
corpus callosum,corpus callosum,corpus callosum,app_sem_0367,no_semantic_change,untranslated_review,low,translation_review,1
corticotropin releasing hormone receptors,corticotropin releasing hormone receptors,corticotropin releasing hormone receptors,app_sem_0368,no_semantic_change,untranslated_review,low,translation_review,1
cortisol awakening response,cortisol awakening response,cortisol awakening response,app_sem_0370,no_semantic_change,untranslated_review,low,translation_review,1
cost effectiveness,cost effectiveness,cost skuteczność,app_sem_0371,no_semantic_change,token_partial_review,medium,translation_review,1
cost-effectiveness analysis,cost-effectiveness analysis,cost-skuteczność analysis,app_sem_0372,no_semantic_change,token_partial_review,medium,translation_review,1
cotard syndrome,cotard syndrome,cotard zespół,app_sem_0373,no_semantic_change,token_partial_review,medium,translation_review,1
couples therapy,couples therapy,couples terapia,app_sem_0377,no_semantic_change,token_partial_review,medium,translation_review,1
course,course,course,app_sem_0378,no_semantic_change,untranslated_review,low,translation_review,1
course of illness,course of illness,course of illness,app_sem_0379,no_semantic_change,untranslated_review,low,translation_review,1
creative thinking,creative thinking,creative thinking,app_sem_0383,no_semantic_change,untranslated_review,low,translation_review,1
creativity and schizophrenia: a literature review of the problem,creativity and schizophrenia: a literature review of the problem,creativity and schizophrenia: a literature przegląd of the problem,app_sem_0385,no_semantic_change,token_partial_review,medium,translation_review,1
creutzfeldt-jakob disease,creutzfeldt-jakob disease,creutzfeldt-jakob choroba,app_sem_0386,no_semantic_change,token_partial_review,medium,translation_review,1
criminal insanity,criminal insanity,criminal insanity,app_sem_0387,no_semantic_change,untranslated_review,low,translation_review,1
crohn's disease,crohn's disease,crohn's choroba,app_sem_0388,no_semantic_change,token_partial_review,medium,translation_review,1
cross-cultural study,cross-cultural study,cross-cultural badanie,app_sem_0389,no_semantic_change,token_partial_review,medium,translation_review,1
cross-lagged panel analysis,cross-lagged panel analysis,cross-lagged panel analysis,app_sem_0390,no_semantic_change,untranslated_review,low,translation_review,1
cso,cso,cso,app_sem_0391,no_semantic_change,untranslated_review,low,translation_review,1
cultural differences,cultural differences,cultural differences,app_sem_0392,no_semantic_change,untranslated_review,low,translation_review,1
cultural social factors,cultural social factor,cultural społeczny czynnik,app_sem_0393,plural_to_concept:cultural social factors->cultural social factor,token_partial_review,medium,translation_review|semantic_merge_audit,1
cyberchondria,cyberchondria,cyberchondria,app_sem_0396,no_semantic_change,untranslated_review,low,translation_review,1
cyberpsychology,cyberpsychology,cyberpsychology,app_sem_0397,no_semantic_change,untranslated_review,low,translation_review,1
cyclothymic,cyclothymic,cyclothymic,app_sem_0398,no_semantic_change,untranslated_review,low,translation_review,1
cyp2d,cyp2d,cyp2d,app_sem_0399,no_semantic_change,untranslated_review,low,translation_review,1
d2 receptors,d2 receptors,d2 receptors,app_sem_0401,no_semantic_change,untranslated_review,low,translation_review,1
dark side of personality,dark side of personality,dark side of osobowość,app_sem_0402,no_semantic_change,token_partial_review,medium,translation_review,1
dat and comt polymorphism,dat and comt polymorphism,dat and comt polymorphism,app_sem_0403,no_semantic_change,untranslated_review,low,translation_review,1
day hospital,day hospital,day hospital,app_sem_0405,no_semantic_change,untranslated_review,low,translation_review,1
day-care ward,day-care ward,day-care ward,app_sem_0406,no_semantic_change,untranslated_review,low,translation_review,1
death,death,death,app_sem_0407,no_semantic_change,untranslated_review,low,translation_review,1
death instinct,death instinct,death instinct,app_sem_0408,no_semantic_change,untranslated_review,low,translation_review,1
decision algorithm,decision algorithm,decision algorithm,app_sem_0409,no_semantic_change,untranslated_review,low,translation_review,1
decision-making,decision-making,decision-making,app_sem_0410,no_semantic_change,untranslated_review,low,translation_review,1
decision-making capacity,decision-making capacity,decision-making capacity,app_sem_0411,no_semantic_change,untranslated_review,low,translation_review,1
defect,defect,defect,app_sem_0412,no_semantic_change,untranslated_review,low,translation_review,1
defense styles,defense styles,defense styles,app_sem_0414,no_semantic_change,untranslated_review,low,translation_review,1
deinstitutionalization,deinstitutionalization,deinstitutionalization,app_sem_0417,no_semantic_change,untranslated_review,low,translation_review,1
deliberate self-harm,deliberate self-harm,deliberate ja-harm,app_sem_0418,no_semantic_change,token_partial_review,medium,translation_review,1
delirium,delirium,delirium,app_sem_0419,no_semantic_change,untranslated_review,low,translation_review,1
delusion-proneness,delusion-proneness,delusion-proneness,app_sem_0421,no_semantic_change,untranslated_review,low,translation_review,1
dementia of the alzheimer type,dementia of the alzheimer type,dementia of the alzheimer type,app_sem_0423,no_semantic_change,untranslated_review,low,translation_review,1
demographic factors,demographic factor,demographic czynnik,app_sem_0424,plural_to_concept:demographic factors->demographic factor,token_partial_review,medium,translation_review|semantic_merge_audit,1
depot formulation,depot formulation,depot formulation,app_sem_0427,no_semantic_change,untranslated_review,low,translation_review,1
depressed mood,depressed mood,depressed mood,app_sem_0428,no_semantic_change,untranslated_review,low,translation_review,1
depressin,depressin,depressin,app_sem_0429,no_semantic_change,untranslated_review,low,translation_review,1
depression as defence mechanism,depression as defence mechanism,depresja as defence mechanism,app_sem_0431,no_semantic_change,token_partial_review,medium,translation_review,1
depressive disorders,depressive disorder,zaburzenie depresyjne,app_sem_0432,plural_to_concept:depressive disorders->depressive disorder,glossary_exact,high,semantic_merge_audit,1
depressiveness,depressiveness,depressiveness,app_sem_0434,no_semantic_change,untranslated_review,low,translation_review,1
dermatosis,dermatosis,dermatosis,app_sem_0435,no_semantic_change,untranslated_review,low,translation_review,1
desnos,desnos,desnos,app_sem_0436,no_semantic_change,untranslated_review,low,translation_review,1
detection,detection,detection,app_sem_0437,no_semantic_change,untranslated_review,low,translation_review,1
determinants of health,determinants of health,determinants of zdrowie,app_sem_0438,no_semantic_change,token_partial_review,medium,translation_review,1
detoxification,detoxification,detoxification,app_sem_0439,no_semantic_change,untranslated_review,low,translation_review,1
development,development,development,app_sem_0440,no_semantic_change,untranslated_review,low,translation_review,1
developmental dyslexia,developmental dyslexia,developmental dyslexia,app_sem_0441,no_semantic_change,untranslated_review,low,translation_review,1
diabetes distress,diabetes distress,diabetes distress,app_sem_0443,no_semantic_change,untranslated_review,low,translation_review,1
diabetes mellitus,diabetes mellitus,diabetes mellitus,app_sem_0444,no_semantic_change,untranslated_review,low,translation_review,1
diabetes type 1,diabetes type 1,diabetes type 1,app_sem_0445,no_semantic_change,untranslated_review,low,translation_review,1
diabulimia,diabulimia,diabulimia,app_sem_0446,no_semantic_change,untranslated_review,low,translation_review,1
diagnosis applied in psychotherapy,diagnosis applied in psychotherapy,diagnoza applied in psychoterapia,app_sem_0448,no_semantic_change,token_partial_review,medium,translation_review,1
diagnostic approach,diagnostic approach,diagnostyczny approach,app_sem_0449,no_semantic_change,token_partial_review,medium,translation_review,1
diagnostic procedures,diagnostic procedures,diagnostyczny procedures,app_sem_0450,no_semantic_change,token_partial_review,medium,translation_review,1
diagnostic tips,diagnostic tips,diagnostyczny tips,app_sem_0451,no_semantic_change,token_partial_review,medium,translation_review,1
dialectical behavior therapydbt,dialectical behavior therapydbt,dialectical behavior therapydbt,app_sem_0452,no_semantic_change,untranslated_review,low,translation_review,1
diet,diet,diet,app_sem_0453,no_semantic_change,untranslated_review,low,translation_review,1
dietary supplements,dietary supplements,dietary supplements,app_sem_0454,no_semantic_change,untranslated_review,low,translation_review,1
dignity,dignity,dignity,app_sem_0456,no_semantic_change,untranslated_review,low,translation_review,1
dimensional models,dimensional models,dimensional models,app_sem_0457,no_semantic_change,untranslated_review,low,translation_review,1
discriminate analysis,discriminate analysis,discriminate analysis,app_sem_0459,no_semantic_change,untranslated_review,low,translation_review,1
discussion with anti-and postpsychiatry,discussion with anti-and postpsychiatry,discussion with anti-and postpsychiatry,app_sem_0460,no_semantic_change,untranslated_review,low,translation_review,1
disordered body image,disordered body image,disordered body image,app_sem_0462,no_semantic_change,untranslated_review,low,translation_review,1
disruptive behavior disorders in children and adolescents,disruptive behavior disorders in children and adolescents,disruptive behavior zaburzenia in dzieci and adolescenci,app_sem_0466,no_semantic_change,token_partial_review,medium,translation_review,1
dissociation,dissociation,dissociation,app_sem_0467,no_semantic_change,untranslated_review,low,translation_review,1
dissociation and trauma,dissociation and trauma,dissociation and trauma,app_sem_0468,no_semantic_change,token_partial_review,medium,translation_review,1
distorted body image,distorted body image,distorted body image,app_sem_0469,no_semantic_change,untranslated_review,low,translation_review,1
doctor-patient relationship,doctor-patient relationship,doctor-patient relacja,app_sem_0470,no_semantic_change,token_partial_review,medium,translation_review,1
domestic violence,domestic violence,domestic przemoc,app_sem_0471,no_semantic_change,token_partial_review,medium,translation_review,1
drama,drama,drama,app_sem_0473,no_semantic_change,untranslated_review,low,translation_review,1
drawings,drawings,drawings,app_sem_0475,no_semantic_change,untranslated_review,low,translation_review,1
dream emotions,dream emotions,dream emotions,app_sem_0476,no_semantic_change,untranslated_review,low,translation_review,1
dreaming,dreaming,dreaming,app_sem_0477,no_semantic_change,untranslated_review,low,translation_review,1
drop out,drop out,drop out,app_sem_0478,no_semantic_change,untranslated_review,low,translation_review,1
drop-out,drop-out,drop-out,app_sem_0479,no_semantic_change,untranslated_review,low,translation_review,1
drug-resistant depression,drug-resistant depression,lek-resistant depresja,app_sem_0482,no_semantic_change,token_partial_review,medium,translation_review,1
dryness of mouth,dryness of mouth,dryness of mouth,app_sem_0483,no_semantic_change,untranslated_review,low,translation_review,1
dsm,dsm,dsm,app_sem_0484,no_semantic_change,untranslated_review,low,translation_review,1
dsm-5,dsm-5,dsm-5,app_sem_0485,no_semantic_change,untranslated_review,low,translation_review,1
dsm5,dsm5,dsm5,app_sem_0486,no_semantic_change,untranslated_review,low,translation_review,1
duration of psychotherapy,duration of psychotherapy,duration of psychoterapia,app_sem_0488,no_semantic_change,token_partial_review,medium,translation_review,1
dynamic psychiatry,dynamic psychiatry,dynamic psychiatria,app_sem_0489,no_semantic_change,token_partial_review,medium,translation_review,1
dyscalculia,dyscalculia,dyscalculia,app_sem_0490,no_semantic_change,untranslated_review,low,translation_review,1
dysfunctional attitudes,dysfunctional attitude,dysfunkcjonalna postawa,app_sem_0491,plural_to_concept:dysfunctional attitudes->dysfunctional attitude,glossary_exact,high,semantic_merge_audit,1
dysfunctional beliefs,dysfunctional beliefs,dysfunctional beliefs,app_sem_0492,no_semantic_change,untranslated_review,low,translation_review,1
dysorthography,dysorthography,dysorthography,app_sem_0493,no_semantic_change,untranslated_review,low,translation_review,1
dysphoria,dysphoria,dysphoria,app_sem_0494,no_semantic_change,untranslated_review,low,translation_review,1
e-learning,e-learning,e-learning,app_sem_0495,no_semantic_change,untranslated_review,low,translation_review,1
early childhood trauma,early childhood trauma,early childhood trauma,app_sem_0497,no_semantic_change,token_partial_review,medium,translation_review,1
early retirement,early retirement,early retirement,app_sem_0500,no_semantic_change,untranslated_review,low,translation_review,1
eartquake victims,eartquake victims,eartquake victims,app_sem_0501,no_semantic_change,untranslated_review,low,translation_review,1
east azerbaijian,east azerbaijian,east azerbaijian,app_sem_0502,no_semantic_change,untranslated_review,low,translation_review,1
eating behaviours,eating behaviors,jedzenie behaviors,app_sem_0507,spelling:behaviour->behavior,token_partial_review,medium,translation_review|semantic_merge_audit,1
eating disorder symptoms,eating disorder symptom,zaburzenie odżywiania objaw,app_sem_0509,plural_to_concept:eating disorder symptoms->eating disorder symptom,token_partial_review,medium,translation_review|semantic_merge_audit,1
eating disorders awareness,eating disorders awareness,eating disorders awareness,app_sem_0510,no_semantic_change,untranslated_review,low,translation_review,1
eating disorders predictors,eating disorders predictors,eating disorders predictors,app_sem_0511,no_semantic_change,untranslated_review,low,translation_review,1
eating disorders subtypes,eating disorders subtypes,eating disorders subtypes,app_sem_0512,no_semantic_change,untranslated_review,low,translation_review,1
eating habits,eating habits,jedzenie habits,app_sem_0513,no_semantic_change,token_partial_review,medium,translation_review,1
eating styles,eating styles,jedzenie styles,app_sem_0514,no_semantic_change,token_partial_review,medium,translation_review,1
eclecticism,eclecticism,eclecticism,app_sem_0515,no_semantic_change,untranslated_review,low,translation_review,1
ecological anxiety,ecological anxiety,ecological lęk,app_sem_0516,no_semantic_change,token_partial_review,medium,translation_review,1
ecological perception,ecological perception,ecological perception,app_sem_0517,no_semantic_change,untranslated_review,low,translation_review,1
economic stresses,economic stresses,economic stresses,app_sem_0518,no_semantic_change,untranslated_review,low,translation_review,1
ect,ect,ect,app_sem_0519,no_semantic_change,untranslated_review,low,translation_review,1
editorial 4,editorial,editorial,app_sem_0520,exact_map:editorial 4->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,1
editorial editorial 1,editorial editorial 1,editorial editorial 1,app_sem_0521,no_semantic_change,untranslated_review,low,translation_review,1
editorial1,editorial,editorial,app_sem_0520,exact_map:editorial1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,1
editoril 2,editorial,editorial,app_sem_0520,exact_map:editoril 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,1
eeg-biofeedback,eeg-biofeedback,eeg-biofeedback,app_sem_0524,no_semantic_change,untranslated_review,low,translation_review,1
effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events,effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events,effect of schizofrenia and zaburzenie używania substancji on depressive objawy and stressful życie events,app_sem_0525,no_semantic_change,token_partial_review,medium,translation_review,1
effective counselor,effective counselor,effective counselor,app_sem_0526,no_semantic_change,untranslated_review,low,translation_review,1
effectivness,effectiveness,skuteczność,app_sem_0527,exact_map:effectivness->effectiveness,glossary_exact,high,semantic_merge_audit,1
efficacy profile,efficacy profile,skuteczność profile,app_sem_0528,no_semantic_change,token_partial_review,medium,translation_review,1
ego,ego,ego,app_sem_0529,no_semantic_change,untranslated_review,low,translation_review,1
egocentric,egocentric,egocentric,app_sem_0530,no_semantic_change,untranslated_review,low,translation_review,1
egypt,egypt,egypt,app_sem_0532,no_semantic_change,untranslated_review,low,translation_review,1
electrodermal activity,electrodermal activity,electrodermal activity,app_sem_0535,no_semantic_change,untranslated_review,low,translation_review,1
electronic communication,electronic communication,electronic communication,app_sem_0536,no_semantic_change,untranslated_review,low,translation_review,1
emergencies,emergencies,emergencies,app_sem_0537,no_semantic_change,untranslated_review,low,translation_review,1
emergency medicine residents,emergency medicine residents,emergency medicine residents,app_sem_0538,no_semantic_change,untranslated_review,low,translation_review,1
emotion focused training for emotion of self-compassion and self-protection,emotion focused training for emotion of self-compassion and self-protection,emocja focused training for emocja of ja-compassion and ja-protection,app_sem_0539,no_semantic_change,token_partial_review,medium,translation_review,1
emotion-focused coping,emotion-focused coping,emocja-focused radzenie sobie,app_sem_0542,no_semantic_change,token_partial_review,medium,translation_review,1
emotional abuse,emotional abuse,emocjonalny abuse,app_sem_0543,no_semantic_change,token_partial_review,medium,translation_review,1
emotional development,emotional development,emocjonalny development,app_sem_0544,no_semantic_change,token_partial_review,medium,translation_review,1
emotional disorders,emotional disorder,emocjonalny zaburzenie,app_sem_0545,plural_to_concept:emotional disorders->emotional disorder,token_full,high,semantic_merge_audit,1
emotional disposition,emotional disposition,emocjonalny disposition,app_sem_0546,no_semantic_change,token_partial_review,medium,translation_review,1
emotional injury ocd,emotional injury ocd,emocjonalny injury ocd,app_sem_0548,no_semantic_change,token_partial_review,medium,translation_review,1
emotional labour,emotional labour,emocjonalny labour,app_sem_0551,no_semantic_change,token_partial_review,medium,translation_review,1
emotional processes,emotional processes,emocjonalny processes,app_sem_0552,no_semantic_change,token_partial_review,medium,translation_review,1
emotional state,emotional state,emocjonalny state,app_sem_0555,no_semantic_change,token_partial_review,medium,translation_review,1
emotional symptoms,emotional symptom,emocjonalny objaw,app_sem_0556,plural_to_concept:emotional symptoms->emotional symptom,token_full,high,semantic_merge_audit,1
empathy_,empathy_,empathy_,app_sem_0559,no_semantic_change,untranslated_review,low,translation_review,1
ems,ems,ems,app_sem_0560,no_semantic_change,untranslated_review,low,translation_review,1
endurance training,endurance training,endurance training,app_sem_0561,no_semantic_change,untranslated_review,low,translation_review,1
engagement,engagement,engagement,app_sem_0562,no_semantic_change,untranslated_review,low,translation_review,1
environmental stressors,environmental stressors,environmental stressors,app_sem_0563,no_semantic_change,untranslated_review,low,translation_review,1
epq-r,epq-r,epq-r,app_sem_0569,no_semantic_change,untranslated_review,low,translation_review,1
ericksonian parallel process,ericksonian parallel process,ericksonian parallel process,app_sem_0570,no_semantic_change,untranslated_review,low,translation_review,1
ericksonian supervision,ericksonian supervision,ericksonian supervision,app_sem_0571,no_semantic_change,untranslated_review,low,translation_review,1
ethical aspects,ethical aspects,ethical aspects,app_sem_0572,no_semantic_change,untranslated_review,low,translation_review,1
ethical dilemmas,ethical dilemmas,ethical dilemmas,app_sem_0573,no_semantic_change,untranslated_review,low,translation_review,1
ethical issues,ethical issues,ethical issues,app_sem_0574,no_semantic_change,untranslated_review,low,translation_review,1
ethics,ethics,ethics,app_sem_0575,no_semantic_change,untranslated_review,low,translation_review,1
etiology and symptomatology of paternal postnatal depression,etiology and symptomatology of paternal postnatal depression,etiology and symptomatology of paternal postnatal depresja,app_sem_0576,no_semantic_change,token_partial_review,medium,translation_review,1
evaluation of psychotherapy treatment,evaluation of psychotherapy treatment,evaluation of psychoterapia leczenie,app_sem_0577,no_semantic_change,token_partial_review,medium,translation_review,1
evidence,evidence,evidence,app_sem_0578,no_semantic_change,untranslated_review,low,translation_review,1
evolution,evolution,evolution,app_sem_0579,no_semantic_change,untranslated_review,low,translation_review,1
exam stress,exam stress,exam stres,app_sem_0580,no_semantic_change,token_partial_review,medium,translation_review,1
exhaustion,exhaustion,exhaustion,app_sem_0582,no_semantic_change,untranslated_review,low,translation_review,1
existential cognitive-behavioral therapy,existential cognitive-behavioral therapy,existential poznawczy-behawioralny terapia,app_sem_0583,no_semantic_change,token_partial_review,medium,translation_review,1
experience,experience,experience,app_sem_0584,no_semantic_change,untranslated_review,low,translation_review,1
experience of trauma,experience of trauma,experience of trauma,app_sem_0585,no_semantic_change,token_partial_review,medium,translation_review,1
experience of values,experience of values,experience of values,app_sem_0586,no_semantic_change,untranslated_review,low,translation_review,1
experiencing scale,experiencing scale,experiencing skala,app_sem_0587,no_semantic_change,token_partial_review,medium,translation_review,1
experimental stress,experimental stress,experimental stres,app_sem_0588,no_semantic_change,token_partial_review,medium,translation_review,1
exploratory factor analysis,exploratory factor analysis,exploratory czynnik analysis,app_sem_0589,no_semantic_change,token_partial_review,medium,translation_review,1
exploratory study,exploratory study,exploratory badanie,app_sem_0590,no_semantic_change,token_partial_review,medium,translation_review,1
exposure therapy,exposure therapy,exposure terapia,app_sem_0591,no_semantic_change,token_partial_review,medium,translation_review,1
externalizing behaviors,externalizing behaviors,externalizing behaviors,app_sem_0592,no_semantic_change,untranslated_review,low,translation_review,1
extreme sports,extreme sports,extreme sports,app_sem_0593,no_semantic_change,untranslated_review,low,translation_review,1
eye movement desensitization and reprocessing,eye movement desensitization and reprocessing,eye movement desensitization and reprocessing,app_sem_0594,no_semantic_change,untranslated_review,low,translation_review,1
face-to-face therapy,face-to-face therapy,face-to-face terapia,app_sem_0595,no_semantic_change,token_partial_review,medium,translation_review,1
factor analyses,factor analyses,czynnik analyses,app_sem_0598,no_semantic_change,token_partial_review,medium,translation_review,1
factor analysis,factor analysis,czynnik analysis,app_sem_0599,no_semantic_change,token_partial_review,medium,translation_review,1
factors of compliance with the treatment regimen,factors of compliance with the treatment regimen,czynniki of compliance with the leczenie regimen,app_sem_0600,no_semantic_change,token_partial_review,medium,translation_review,1
faecal impaction,faecal impaction,faecal impaction,app_sem_0601,no_semantic_change,untranslated_review,low,translation_review,1
faecaloma,faecaloma,faecaloma,app_sem_0602,no_semantic_change,untranslated_review,low,translation_review,1
fahr's syndrome,fahr's syndrome,fahr's zespół,app_sem_0603,no_semantic_change,token_partial_review,medium,translation_review,1
failure,failure,failure,app_sem_0604,no_semantic_change,untranslated_review,low,translation_review,1
family caregivers,family caregivers,rodzina caregivers,app_sem_0606,no_semantic_change,token_partial_review,medium,translation_review,1
family constellations,family constellations,rodzina constellations,app_sem_0607,no_semantic_change,token_partial_review,medium,translation_review,1
family consultation,family consultation,rodzina consultation,app_sem_0608,no_semantic_change,token_partial_review,medium,translation_review,1
family genogram interview,family genogram interview,rodzina genogram interview,app_sem_0609,no_semantic_change,token_partial_review,medium,translation_review,1
family history,family history,rodzina history,app_sem_0610,no_semantic_change,token_partial_review,medium,translation_review,1
family practice,family practice,rodzina practice,app_sem_0611,no_semantic_change,token_partial_review,medium,translation_review,1
family system,family system,rodzina system,app_sem_0612,no_semantic_change,token_partial_review,medium,translation_review,1
family system characteristics,family system characteristics,rodzina system characteristics,app_sem_0613,no_semantic_change,token_partial_review,medium,translation_review,1
fanaticism,fanaticism,fanaticism,app_sem_0615,no_semantic_change,untranslated_review,low,translation_review,1
feeding and eating disorders,feeding and eating disorder,feeding and eating disorder,app_sem_0617,plural_to_concept:feeding and eating disorders->feeding and eating disorder,untranslated_review,low,translation_review|semantic_merge_audit,1
females without mental disturbances,females without mental disturbance,females without psychiczny zaburzenie,app_sem_0618,plural_to_concept:females without mental disturbances->females without mental disturbance,token_partial_review,medium,translation_review|semantic_merge_audit,1
fetal alcohol syndrome,fetal alcohol syndrome,fetal alkohol zespół,app_sem_0619,no_semantic_change,token_partial_review,medium,translation_review,1
fg,fg,fg,app_sem_0620,no_semantic_change,untranslated_review,low,translation_review,1
fidelity,fidelity,fidelity,app_sem_0622,no_semantic_change,untranslated_review,low,translation_review,1
figure rating scale,figure rating scale,figure rating skala,app_sem_0623,no_semantic_change,token_partial_review,medium,translation_review,1
firefighters,firefighters,firefighters,app_sem_0624,no_semantic_change,untranslated_review,low,translation_review,1
first episode schizophrenia,first-episode schizophrenia,pierwszy epizod schizofrenii,app_sem_0630,exact_map:first episode schizophrenia->first-episode schizophrenia,glossary_exact,high,semantic_merge_audit,1
first person account,first person account,first person account,app_sem_0625,no_semantic_change,untranslated_review,low,translation_review,1
first psychosis,first psychosis,first psychosis,app_sem_0626,no_semantic_change,untranslated_review,low,translation_review,1
first-episode psychosis,first-episode psychosis,first-episode psychosis,app_sem_0629,no_semantic_change,untranslated_review,low,translation_review,1
first-person account,first-person account,first-person account,app_sem_0631,no_semantic_change,untranslated_review,low,translation_review,1
fitness,fitness,fitness,app_sem_0632,no_semantic_change,untranslated_review,low,translation_review,1
five-factor model of personality,five-factor model of personality,five-czynnik model of osobowość,app_sem_0633,no_semantic_change,token_partial_review,medium,translation_review,1
fkbp5,fkbp5,fkbp5,app_sem_0634,no_semantic_change,untranslated_review,low,translation_review,1
fmri,fmri,fmri,app_sem_0637,no_semantic_change,untranslated_review,low,translation_review,1
follow-up,follow-up,follow-up,app_sem_0638,no_semantic_change,untranslated_review,low,translation_review,1
food restriction,food restriction,food restriction,app_sem_0640,no_semantic_change,untranslated_review,low,translation_review,1
for authors,for authors,for authors,app_sem_0641,no_semantic_change,untranslated_review,low,translation_review,1
forced treatment,forced treatment,forced leczenie,app_sem_0642,no_semantic_change,token_partial_review,medium,translation_review,1
forcible feeding,forcible feeding,forcible feeding,app_sem_0643,no_semantic_change,untranslated_review,low,translation_review,1
foster care,foster care,foster care,app_sem_0646,no_semantic_change,untranslated_review,low,translation_review,1
free association,free association,free association,app_sem_0647,no_semantic_change,untranslated_review,low,translation_review,1
frequency of comsumption of products,frequency of comsumption of products,frequency of comsumption of products,app_sem_0648,no_semantic_change,untranslated_review,low,translation_review,1
freud,freud,freud,app_sem_0649,no_semantic_change,untranslated_review,low,translation_review,1
frontal lobe syndrome,frontal lobe syndrome,frontal lobe zespół,app_sem_0651,no_semantic_change,token_partial_review,medium,translation_review,1
fuzzy promethee,fuzzy promethee,fuzzy promethee,app_sem_0653,no_semantic_change,untranslated_review,low,translation_review,1
galvanic skin response,galvanic skin response,galvanic skin response,app_sem_0654,no_semantic_change,untranslated_review,low,translation_review,1
gay,gay,gay,app_sem_0655,no_semantic_change,untranslated_review,low,translation_review,1
gender difference,gender difference,płeć difference,app_sem_0657,no_semantic_change,token_partial_review,medium,translation_review,1
gender dysphoria in children,gender dysphoria in children,płeć dysphoria in dzieci,app_sem_0658,no_semantic_change,token_partial_review,medium,translation_review,1
gender identity,gender identity,płeć identity,app_sem_0659,no_semantic_change,token_partial_review,medium,translation_review,1
gender identity in childhood,gender identity in childhood,płeć identity in childhood,app_sem_0660,no_semantic_change,token_partial_review,medium,translation_review,1
gender role conflict,gender role conflict,płeć role conflict,app_sem_0661,no_semantic_change,token_partial_review,medium,translation_review,1
gender variance,gender variance,płeć variance,app_sem_0662,no_semantic_change,token_partial_review,medium,translation_review,1
gene,gene,gene,app_sem_0663,no_semantic_change,untranslated_review,low,translation_review,1
gene mutation,gene mutation,gene mutation,app_sem_0664,no_semantic_change,untranslated_review,low,translation_review,1
gene polymorphism,gene polymorphism,gene polymorphism,app_sem_0665,no_semantic_change,untranslated_review,low,translation_review,1
gene-environment interaction,gene-environment interaction,gene-environment interaction,app_sem_0666,no_semantic_change,untranslated_review,low,translation_review,1
general factor specification,general factor specification,general czynnik specification,app_sem_0667,no_semantic_change,token_partial_review,medium,translation_review,1
general self-efficacy,general self-efficacy,general self-efficacy,app_sem_0668,no_semantic_change,untranslated_review,low,translation_review,1
generalized anxiety,generalized anxiety,generalized lęk,app_sem_0669,no_semantic_change,token_partial_review,medium,translation_review,1
genes,genes,genes,app_sem_0671,no_semantic_change,untranslated_review,low,translation_review,1
gestational diabetes,gestational diabetes,gestational diabetes,app_sem_0673,no_semantic_change,untranslated_review,low,translation_review,1
gg,gg,gg,app_sem_0674,no_semantic_change,untranslated_review,low,translation_review,1
gh,gh,gh,app_sem_0675,no_semantic_change,untranslated_review,low,translation_review,1
giftedness,giftedness,giftedness,app_sem_0676,no_semantic_change,untranslated_review,low,translation_review,1
gingivitis,gingivitis,gingivitis,app_sem_0677,no_semantic_change,untranslated_review,low,translation_review,1
glutamic acid,glutamic acid,glutamic acid,app_sem_0678,no_semantic_change,untranslated_review,low,translation_review,1
glycine,glycine,glycine,app_sem_0679,no_semantic_change,untranslated_review,low,translation_review,1
grandparents,grandparents,grandparents,app_sem_0680,no_semantic_change,untranslated_review,low,translation_review,1
grounded theory methodology,grounded theory methodology,grounded theory methodology,app_sem_0681,no_semantic_change,untranslated_review,low,translation_review,1
group process,group process,group process,app_sem_0682,no_semantic_change,untranslated_review,low,translation_review,1
growth resources model,growth resources model,growth resources model,app_sem_0685,no_semantic_change,untranslated_review,low,translation_review,1
gsdsii,gsdsii,gsdsii,app_sem_0686,no_semantic_change,untranslated_review,low,translation_review,1
guided discovery,guided discovery,guided discovery,app_sem_0687,no_semantic_change,untranslated_review,low,translation_review,1
guided self-management program for patients,guided self-management program for patients,guided ja-management program for patients,app_sem_0689,no_semantic_change,token_partial_review,medium,translation_review,1
hallucinogenic space,hallucinogenic space,hallucinogenic space,app_sem_0693,no_semantic_change,untranslated_review,low,translation_review,1
haplotype,haplotype,haplotype,app_sem_0694,no_semantic_change,untranslated_review,low,translation_review,1
harm reduction,harm reduction,harm reduction,app_sem_0695,no_semantic_change,untranslated_review,low,translation_review,1
hashimoto's disease,hashimoto's disease,hashimoto's choroba,app_sem_0696,no_semantic_change,token_partial_review,medium,translation_review,1
