keyword_concept_polish_3d_aggregated,n_records,n_articles,n_previous_concepts,example_previous_concepts,review_flag_3d
psychiczny contamination,1,1,1,psychiczny contamination,
psychodrama,1,1,1,psychodrama,
psychogenic binge easting,1,1,1,psychogenic binge easting,
public zdrowie,1,1,1,public zdrowie,
qol measures,1,1,1,qol measures,
quarantine,1,1,1,quarantine,
rapid cycling,1,1,1,rapid cycling,
reliable change,1,1,1,reliable change,
repeated transcranial magnetic stimulation,1,1,1,repeated transcranial magnetic stimulation,
resident,1,1,1,resident,
resiliency,1,1,1,resiliency,
respiration,1,1,1,respiration,
reversibility,1,1,1,reversibility,
rhinoplasty surgery,1,1,1,rhinoplasty surgery,
rosacea,1,1,1,rosacea,
ruminative thinking,1,1,1,ruminative thinking,
runaway girls,1,1,1,runaway girls,
russia,1,1,1,russia,
różnice indywidualne,1,1,1,różnice indywidualne,
salience,1,1,1,salience,
saliva,1,1,1,saliva,
sasb,1,1,1,sasb,strong_audit_residual_translation_or_scope
schema modes,1,1,1,schema modes,
scientific production,1,1,1,scientific production,
seizures,1,1,1,seizures,
selenium,1,1,1,selenium,
semantic priming,1,1,1,semantic priming,
semantic satiation,1,1,1,semantic satiation,
send by email,1,1,1,send by email,
seniors,1,1,1,seniors,
sensation seeking,1,1,1,sensation seeking,
sertraline,1,1,1,sertraline,
serum,1,1,1,serum,
serum concentration,1,1,1,serum concentration,
short-term dynamic terapia,1,1,1,short-term dynamic terapia,strong_audit_residual_translation_or_scope
shyness,1,1,1,shyness,
skydivers,1,1,1,skydivers,
socio-demographic characteristics,1,1,1,socio-demographic characteristics,strong_audit_residual_translation_or_scope
socioeconomic status,1,1,1,socioeconomic status,
sodium-glucose co-transporter-2 inhibitor,1,1,1,sodium-glucose co-transporter-2 inhibitor,strong_audit_residual_translation_or_scope
solastalgia,1,1,1,solastalgia,
solution focused brief terapia,1,1,1,solution focused brief terapia,
somatic zaburzenie,1,1,1,somatic zaburzenie,
somatization,1,1,1,somatization,
sparteine oxidation,1,1,1,sparteine oxidation,
specific zaburzenie,1,1,1,specific zaburzenie,
spect,1,1,1,spect,
spouse burden,1,1,1,spouse burden,
sprawcy,1,1,1,sprawcy,
stages of supervision,1,1,1,stages of supervision,
statystyka,1,1,1,statystyka,
story,1,1,1,story,
stosunek neutrofili do limfocytów,1,1,1,stosunek neutrofili do limfocytów,
stq-now,1,1,1,stq-now,strong_audit_residual_translation_or_scope
strata materialna,1,1,1,strata materialna,
strp,1,1,1,strp,strong_audit_residual_translation_or_scope
structure,1,1,1,structure,
stuttering,1,1,1,stuttering,
subjective aspects,1,1,1,subjective aspects,
subtypes,1,1,1,subtypes,
supervision,1,1,1,supervision,
suppression,1,1,1,suppression,
survivor,1,1,1,survivor,
survivors,1,1,1,survivors,
synthetic cannabinoids,1,1,1,synthetic cannabinoids,
taboo,1,1,1,taboo,
tako tsubo,1,1,1,tako tsubo,
tako-tsubo,1,1,1,tako-tsubo,strong_audit_residual_translation_or_scope
teachers,1,1,1,teachers,
temporomandibular joint dysfunction,1,1,1,temporomandibular joint dysfunction,
temporomandibular zaburzenie,1,1,1,temporomandibular zaburzenie,
temptation of omnipotence,1,1,1,temptation of omnipotence,
terapeuta characteristics,1,1,1,terapeuta characteristics,
terapeuta credibility,1,1,1,terapeuta credibility,
terapeuta language,1,1,1,terapeuta language,
territoriality,1,1,1,territoriality,
thanatosis,1,1,1,thanatosis,
the dark triad,1,1,1,the dark triad,
the light triad,1,1,1,the light triad,
the paradox,1,1,1,the paradox,
therapeutic influence,1,1,1,therapeutic influence,
therapeutic relation,1,1,1,therapeutic relation,
therapeutics,1,1,1,therapeutics,
therapists,1,1,1,therapists,
thin-ideal internalization,1,1,1,thin-ideal internalization,strong_audit_residual_translation_or_scope
topics index,1,1,1,topics index,
topiramate,1,1,1,topiramate,
transcranial direct current stimulation,1,1,1,transcranial direct current stimulation,
transcranial direct current stimulation (tdcs),1,1,1,transcranial direct current stimulation (tdcs),
transinstitutionalization,1,1,1,transinstitutionalization,
transsexualism,1,1,1,transsexualism,
type 2 (ntrk2),1,1,1,type 2 (ntrk2),strong_audit_residual_translation_or_scope
uhplc,1,1,1,uhplc,
uk,1,1,1,uk,strong_audit_residual_translation_or_scope
unconscious primitive murderous rage,1,1,1,unconscious primitive murderous rage,
unconsciousness in the supervision process,1,1,1,unconsciousness in the supervision process,
uncontrolled eating,1,1,1,uncontrolled eating,
underachievement,1,1,1,underachievement,
unemployment,1,1,1,unemployment,
urine,1,1,1,urine,
utilization zachowanie,1,1,1,utilization zachowanie,
użytkownicy dożylni,1,1,1,użytkownicy dożylni,
vaginismus,1,1,1,vaginismus,
vagus nerve,1,1,1,vagus nerve,
verbal fluency,1,1,1,verbal fluency,
vikings,1,1,1,vikings,
virtual reality,1,1,1,virtual reality,
visegrad countries,1,1,1,visegrad countries,
visual imaginery,1,1,1,visual imaginery,
voice hearing,1,1,1,voice hearing,
voice signals,1,1,1,voice signals,
waiting list,1,1,1,waiting list,
website accessibility,1,1,1,website accessibility,
weight gain,1,1,1,weight gain,
weight loss,1,1,1,weight loss,
weight loss terapia,1,1,1,weight loss terapia,
white blood cells,1,1,1,white blood cells,
wiek pacjentów,1,1,1,wiek pacjentów,
wielokryterialny,1,1,1,wielokryterialny,
wisconsin card sorting test,1,1,1,wisconsin card sorting test,
więcej,1,1,1,więcej,
wnioskowanie,1,1,1,wnioskowanie,
worry,1,1,1,worry,
wrzesien,1,1,1,wrzesien,
wytyczne WHO,1,1,1,wytyczne WHO,
xenomelia,1,1,1,xenomelia,
yoga,1,1,1,yoga,strong_audit_residual_translation_or_scope
zaangażowanie,1,1,1,zaangażowanie,
zaburzenia,1,1,1,zaburzenia,
zaburzenia seksualne i seksualność kliniczna,1,1,1,libido,
zaburzenie,1,1,1,zaburzenie,
zachowanie macierzyńskie,1,1,1,zachowanie macierzyńskie,
zachowanie ojcowskie,1,1,1,zachowanie ojcowskie,
zasób informacyjny,1,1,1,zasób informacyjny,
zataria multiflora boiss,1,1,1,zataria multiflora boiss,
zdrowie,1,1,1,zdrowie,
zdrowie 2.0,1,1,1,zdrowie 2.0,strong_audit_residual_translation_or_scope
zdrowie care providers,1,1,1,zdrowie care providers,
zdrowie food,1,1,1,zdrowie food,
zdrowie-related behavior,1,1,1,zdrowie-related behavior,strong_audit_residual_translation_or_scope
zespół,1,1,1,zespół,strong_audit_residual_translation_or_scope
zjawiska fizjologiczne,1,1,1,zjawiska fizjologiczne,
zolpidem,1,1,1,zolpidem,
śmiertelność,1,1,1,śmiertelność,
świąd,1,1,1,świąd,
Żydzi,1,1,1,Żydzi,
życie experience,1,1,1,życie experience,
żydowski ruch oporu,1,1,1,żydowski ruch oporu,
