keyword_semantic_3c_id,keyword_concept_polish_final,keyword_concept_en_final,n_records,n_articles,n_input_expanded_concepts,input_expanded_concepts,raw_variants,review_flag_3c
app_sem3c_0656,medical personnel,medical personnel,2,2,1,medical personnel,medical personnel,ok
app_sem3c_0660,medical students,medical students,2,2,1,medical students,medical students,ok
app_sem3c_0665,mentalization,mentalization,2,2,1,mentalization,mentalization,ok
app_sem3c_0669,metaphor,metaphor,2,2,1,metaphor,metaphor,ok
app_sem3c_0674,methylphenidate,methylphenidate,2,2,1,methylphenidate,Methylphenidate,ok
app_sem3c_0699,mężczyźni,men,2,2,1,men,men,ok
app_sem3c_0700,nadciśnienie,hypertension,2,2,1,hypertension,hypertension,ok
app_sem3c_0701,nadużycie,abuse,2,2,1,abuse,abuse,ok
app_sem3c_0709,neurobiology,neurobiology,2,2,1,neurobiology,neurobiology,ok
app_sem3c_0717,neuropsychologiczny tests,neuropsychological tests,2,2,1,neuropsychological tests,neuropsychological tests,ok
app_sem3c_0720,neurotic objaw,neurotic symptom,2,2,1,neurotic symptom,neurotic symptoms,ok
app_sem3c_0727,neurotyczność,neuroticism,2,2,1,neuroticism,neuroticism,ok
app_sem3c_0733,niepełnosprawność społeczna,social disability,2,2,1,social disability,social disability,ok
app_sem3c_0735,niestabilność emocjonalna,emotional instability,2,2,1,emotional instability,emotional instability,ok
app_sem3c_0749,oddział psychiatryczny,psychiatric ward,2,2,1,psychiatric ward,psychiatric ward,ok
app_sem3c_0754,online,online,2,2,1,online,Online | online,ok
app_sem3c_0759,opór,resistance,2,2,1,resistance,resistance,ok
app_sem3c_0773,oś jelitowo-mózgowa,gut-brain axis,2,2,1,gut-brain axis,gut-brain axis,ok
app_sem3c_0798,phenomenology,phenomenology,2,2,1,phenomenology,phenomenology,ok
app_sem3c_0802,philosophy,philosophy,2,2,1,philosophy,philosophy,ok
app_sem3c_0813,police officers,police officers,2,2,1,police officers,police officers,ok
app_sem3c_0833,postępowanie kliniczne,clinical management,2,2,1,clinical management,clinical management,ok
app_sem3c_0835,powódź,flood,2,2,1,flood,flood,ok
app_sem3c_0836,poznawczy,cognitive,2,2,1,cognitive,cognitive,ok
app_sem3c_0840,poznawczy control,cognitive control,2,2,1,cognitive control,cognitive control,ok
app_sem3c_0865,profilaktyka,prevention,2,2,1,prevention,prevention,ok
app_sem3c_0892,psychiatryczny rehabilitation,psychiatric rehabilitation,2,2,1,psychiatric rehabilitation,psychiatric rehabilitation,ok
app_sem3c_0897,psychodermatology,psychodermatology,2,2,1,psychodermatology,psychodermatology,ok
app_sem3c_0911,psychologiczny objaw,psychological symptom,2,2,1,psychological symptom,Psychological symptoms | psychological symptoms,ok
app_sem3c_0916,psychology,psychology,2,2,1,psychology,psychology,ok
app_sem3c_0946,relacje polsko-żydowskie,polish-jewish relations,2,2,1,polish-jewish relations,Polish-Jewish relations,ok
app_sem3c_0951,relationships,relationships,2,2,1,relationships,relationships,ok
app_sem3c_0953,religijność,religiousness,2,2,1,religiousness,religiousness,ok
app_sem3c_0974,rozbieżność Ja,self-discrepancy,2,2,1,self-discrepancy,self-discrepancy,ok
app_sem3c_0983,samowspółczucie,self-compassion,2,2,1,self-compassion,self-compassion,ok
app_sem3c_0998,self-criticism,self-criticism,2,2,1,self-criticism,self-criticism,ok
app_sem3c_1004,self-regulation,self-regulation,2,2,1,self-regulation,self-regulation,ok
app_sem3c_1029,sieć społeczna,social network,2,2,1,social network,social network,ok
app_sem3c_1033,skład ciała,body composition,2,2,1,body composition,Body Composition,ok
app_sem3c_1037,sociopathy,sociopathy,2,2,1,sociopathy,sociopathy,ok
app_sem3c_1068,stroke,stroke,2,2,1,stroke,stroke,ok
app_sem3c_1082,suffering,suffering,2,2,1,suffering,suffering,ok
app_sem3c_1090,szkoła podstawowa,primary school,2,2,1,primary school,Primary Schools | primary school,ok
app_sem3c_1096,temperament,temperament,2,2,1,temperament,temperament,ok
app_sem3c_1098,temperamental trait,temperamental trait,2,2,1,temperamental trait,temperamental traits,ok
app_sem3c_1102,teoria przywiązania,attachment theory,2,2,1,attachment theory,attachment theory,ok
app_sem3c_1127,tożsamość,identity,2,2,1,identity,identity,ok
app_sem3c_1132,transference,transference,2,2,1,transference,transference,ok
app_sem3c_1139,type 1 cukrzyca,type 1 diabetes,2,2,1,type 1 diabetes,Type 1 diabetes | type 1 diabetes,ok
app_sem3c_1142,type 2 cukrzyca mellitus,type 2 diabetes mellitus,2,2,1,type 2 diabetes mellitus,type 2 diabetes mellitus,ok
app_sem3c_1143,uczenie się,learning,2,2,1,learning,learning,ok
app_sem3c_1145,uhr,uhr,2,2,1,uhr,UHR | uhr,strong_review_unresolved_acronym
app_sem3c_1186,więź z naturą,nature connectedness,2,2,1,nature connectedness,nature connectedness,ok
app_sem3c_1197,właściwości psychometryczne,psychometric properties,2,2,1,psychometric properties,psychometric properties,ok
app_sem3c_1212,zawał mięśnia sercowego,myocardial infarction,2,2,1,myocardial infarction,Myocardial Infarctions | Myocardial infarction,ok
app_sem3c_1213,zdarzenia niepożądane,adverse events,2,2,1,adverse events,adverse events,ok
app_sem3c_1217,zdrowie behavior,health behavior,2,2,1,health behavior,health behavior | health behaviour,ok
app_sem3c_1227,zespół fibromialgii,fibromyalgia syndrome,2,2,1,fibromyalgia syndrome,fibromyalgia syndrome,ok
app_sem3c_1231,łuszczyca,psoriasis,2,2,1,psoriasis,psoriasis,ok
app_sem3c_0001,1-year follow-up,1-year follow-up,1,1,1,1-year follow-up,1-year follow-up,ok
app_sem3c_0002,22q11.2 deletion zespół,22q11.2 deletion syndrome,1,1,1,22q11.2 deletion syndrome,22q11.2 deletion syndrome,ok
app_sem3c_0003,5-ht1a receptors,5-ht1a receptors,1,1,1,5-ht1a receptors,5-HT1A receptors,ok
app_sem3c_0738,NMDA,nmda,1,1,1,nmda,NMDA,ok
app_sem3c_0744,OAB,oab,1,1,1,oab,OAB,ok
app_sem3c_0748,OCRD,ocrds,1,1,1,ocrds,OCRDs,ok
app_sem3c_0776,PANSS,panss,1,1,1,panss,PANSS,ok
app_sem3c_0810,PMR,pmr,1,1,1,pmr,PMR,ok
app_sem3c_0004,aa,aa,1,1,1,aa,aa,strong_review_unresolved_acronym
app_sem3c_0005,acceptance,acceptance,1,1,1,acceptance,acceptance,ok
app_sem3c_0006,acceptance and commitment terapia,acceptance and commitment therapy,1,1,1,acceptance and commitment therapy,acceptance and commitment therapy,ok
app_sem3c_0007,acl,acl,1,1,1,acl,ACL,strong_review_unresolved_acronym
app_sem3c_0008,activity,activity,1,1,1,activity,activity,ok
app_sem3c_0010,addicts,addicts,1,1,1,addicts,addicts,ok
app_sem3c_0011,adequacy of percepcja,adequacy of perception,1,1,1,adequacy of perception,adequacy of perception,ok
app_sem3c_0013,administrative management,administrative management,1,1,1,administrative management,administrative management,ok
app_sem3c_0015,adoption tożsamość,adoption identity,1,1,1,adoption identity,adoption identity,ok
app_sem3c_0016,adverse effect,adverse effect,1,1,1,adverse effect,adverse effect,ok
app_sem3c_0017,aerobic exercise,aerobic exercise,1,1,1,aerobic exercise,aerobic exercise,ok
app_sem3c_0018,afekty negatywne,negative affects,1,1,1,negative affects,Negative affects,ok
app_sem3c_0019,afekty pozytywne,positive affects,1,1,1,positive affects,Positive affects,ok
app_sem3c_0020,affect phobia model,affect phobia model,1,1,1,affect phobia model,affect phobia model,ok
app_sem3c_0021,affect regulation training,affect regulation training,1,1,1,affect regulation training,Affect regulation training,ok
app_sem3c_0022,affective,affective,1,1,1,affective,affective,ok
app_sem3c_0023,affective temperaments,affective temperaments,1,1,1,affective temperaments,affective temperaments,ok
app_sem3c_0025,affirming compulsions,affirming compulsions,1,1,1,affirming compulsions,affirming compulsions,ok
app_sem3c_0026,agenesis of carpos callosum,agenesis of carpos callosum,1,1,1,agenesis of carpos callosum,agenesis of carpos callosum,ok
app_sem3c_0027,agoraphobia,agoraphobia,1,1,1,agoraphobia,agoraphobia,ok
app_sem3c_0029,aids,aids,1,1,1,aids,AIDS,strong_review_unresolved_acronym
app_sem3c_0031,alcohol,alcohol,1,1,1,alcohol,alcohol,ok
app_sem3c_0032,alcohol consumption,alcohol consumption,1,1,1,alcohol consumption,alcohol consumption,ok
app_sem3c_0033,alcohol-exposed pregnancy,alcohol-exposed pregnancy,1,1,1,alcohol-exposed pregnancy,alcohol-exposed pregnancy,ok
app_sem3c_0034,alcoholic extract,alcoholic extract,1,1,1,alcoholic extract,alcoholic extract,ok
app_sem3c_0036,alkohol withdrawal zespół,alcohol withdrawal syndrome,1,1,1,alcohol withdrawal syndrome,alcohol withdrawal syndrome,ok
app_sem3c_0037,allience,allience,1,1,1,allience,Allience,ok
app_sem3c_0038,alter ego,alter ego,1,1,1,alter ego,alter ego,ok
app_sem3c_0039,american psychiatryczny association,american psychiatric association,1,1,1,american psychiatric association,American Psychiatric Association,ok
app_sem3c_0040,amnesia,amnesia,1,1,1,amnesia,Amnesia,ok
app_sem3c_0041,amyloid,amyloid,1,1,1,amyloid,amyloid,ok
app_sem3c_0042,analgesic suggestion,analgesic suggestion,1,1,1,analgesic suggestion,analgesic suggestion,ok
app_sem3c_0043,anesthesia,anesthesia,1,1,1,anesthesia,Anesthesia,ok
app_sem3c_0045,anhedonia change,anhedonia change,1,1,1,anhedonia change,anhedonia change,ok
app_sem3c_0046,anhedonia intensity,anhedonia intensity,1,1,1,anhedonia intensity,anhedonia intensity,ok
app_sem3c_0047,animal model,animal model,1,1,1,animal model,animal model,ok
app_sem3c_0048,anomia,anomia,1,1,1,anomia,anomia,ok
app_sem3c_0049,anti-n methyl-d-aspartate receptor antibodies,anti-n methyl-d-aspartate receptor antibodies,1,1,1,anti-n methyl-d-aspartate receptor antibodies,Anti-N Methyl-D-Aspartate Receptor Antibodies,ok
app_sem3c_0050,anti-semitism,anti-semitism,1,1,1,anti-semitism,anti-Semitism,ok
app_sem3c_0051,antioxidants,antioxidants,1,1,1,antioxidants,antioxidants,ok
app_sem3c_0052,antisocial zaburzenie,antisocial disorder,1,1,1,antisocial disorder,antisocial disorders,ok
app_sem3c_0053,apoliprotein e,apoliprotein e,1,1,1,apoliprotein e,apoliprotein E,ok
app_sem3c_0054,appearance orientation,appearance orientation,1,1,1,appearance orientation,appearance orientation,ok
app_sem3c_0055,applicants,applicants,1,1,1,applicants,Applicants,ok
app_sem3c_0056,archetype,archetype,1,1,1,archetype,archetype,ok
app_sem3c_0057,archive,archive,1,1,1,archive,Archive,ok
app_sem3c_0058,argentine tango,argentine tango,1,1,1,argentine tango,Argentine tango,ok
app_sem3c_0059,aripiprazole,aripiprazole,1,1,1,aripiprazole,aripiprazole,ok
app_sem3c_0060,arnold chiari malformation,arnold chiari malformation,1,1,1,arnold chiari malformation,Arnold chiari malformation,ok
app_sem3c_0061,arrival,arrival,1,1,1,arrival,arrival,ok
app_sem3c_0062,arterial stiffness,arterial stiffness,1,1,1,arterial stiffness,arterial stiffness,ok
app_sem3c_0063,artykuł,paper,1,1,1,paper,paper,strong_review_non_substantive_or_metadata
app_sem3c_0064,aspirin-induced asthma,aspirin-induced asthma,1,1,1,aspirin-induced asthma,aspirin-induced asthma,ok
app_sem3c_0065,asrq,asrq,1,1,1,asrq,ASRQ,strong_review_unresolved_acronym
app_sem3c_0066,assertiveness,assertiveness,1,1,1,assertiveness,assertiveness,ok
app_sem3c_0067,association,association,1,1,1,association,association,ok
app_sem3c_0069,asthma severity,asthma severity,1,1,1,asthma severity,asthma severity,ok
app_sem3c_0070,athletic ideal,athletic ideal,1,1,1,athletic ideal,athletic ideal,ok
app_sem3c_0071,atopic dermatitis,atopic dermatitis,1,1,1,atopic dermatitis,Atopic Dermatitis,ok
app_sem3c_0072,atos,atos,1,1,1,atos,ATOS,strong_review_unresolved_acronym
app_sem3c_0073,attenuation of pair bonding,attenuation of pair bonding,1,1,1,attenuation of pair bonding,attenuation of pair bonding,ok
app_sem3c_0074,audit,audit,1,1,1,audit,audit,ok
app_sem3c_0075,auditory hallucinations,auditory hallucinations,1,1,1,auditory hallucinations,auditory hallucinations,ok
app_sem3c_0076,augmentation,augmentation,1,1,1,augmentation,augmentation,ok
app_sem3c_0077,author's memories,author's memories,1,1,1,author's memories,author's memories,ok
app_sem3c_0078,authors index,authors index,1,1,1,authors index,Authors index,ok
app_sem3c_0079,auto-amputation,auto-amputation,1,1,1,auto-amputation,auto-amputation,ok
app_sem3c_0080,autoaggresion,autoaggresion,1,1,1,autoaggresion,autoaggresion,ok
app_sem3c_0081,autocreation,autocreation,1,1,1,autocreation,autocreation,ok
app_sem3c_0082,autoimmune disease,autoimmune disease,1,1,1,autoimmune disease,autoimmune disease,ok
app_sem3c_0083,autoimmune encephalitis,autoimmune encephalitis,1,1,1,autoimmune encephalitis,Autoimmune Encephalitis,ok
app_sem3c_0084,automatic action,automatic action,1,1,1,automatic action,automatic action,ok
app_sem3c_0085,automatic thought,automatic thought,1,1,1,automatic thought,automatic thought,ok
app_sem3c_0087,autonomia osobista,personal autonomy,1,1,1,personal autonomy,personal autonomy,ok
app_sem3c_0088,autonomous motivation,autonomous motivation,1,1,1,autonomous motivation,autonomous motivation,ok
app_sem3c_0089,badanie jakościowe,qualitative research,1,1,1,qualitative research,qualitative research,ok
app_sem3c_0091,behavioral addictions,behavioral addictions,1,1,1,behavioral addictions,behavioral addictions,ok
app_sem3c_0092,behaviorism,behaviorism,1,1,1,behaviorism,behaviorism,ok
app_sem3c_0093,bentus,bentus,1,1,1,bentus,Bentus,ok
app_sem3c_0094,bert hellinger,bert hellinger,1,1,1,bert hellinger,Bert Hellinger,ok
app_sem3c_0096,białko prionowe,prion protein,1,1,1,prion protein,prion protein,ok
app_sem3c_0097,bierność,passivity,1,1,1,passivity,passivity,ok
app_sem3c_0098,bifactor model,bifactor model,1,1,1,bifactor model,bifactor model,ok
app_sem3c_0099,big five,big five,1,1,1,big five,Big Five,ok
app_sem3c_0100,biid,biid,1,1,1,biid,BIID,strong_review_unresolved_acronym
app_sem3c_0101,binging,binging,1,1,1,binging,binging,ok
app_sem3c_0102,bioactive compounds,bioactive compounds,1,1,1,bioactive compounds,bioactive compounds,ok
app_sem3c_0103,bioelectrical impedance analysis,bioelectrical impedance analysis,1,1,1,bioelectrical impedance analysis,bioelectrical impedance analysis,ok
app_sem3c_0104,bioethics,bioethics,1,1,1,bioethics,bioethics,ok
app_sem3c_0105,biographical narration,biographical narration,1,1,1,biographical narration,biographical narration,ok
app_sem3c_0106,biography,biography,1,1,1,biography,biography,ok
app_sem3c_0107,bion's theory,bion's theory,1,1,1,bion's theory,Bion's theory,ok
app_sem3c_0109,birding,birding,1,1,1,birding,birding,ok
app_sem3c_0110,bisexual mężczyźni,bisexual men,1,1,1,bisexual men,bisexual men,ok
app_sem3c_0111,bisexuality,bisexuality,1,1,1,bisexuality,bisexuality,ok
app_sem3c_0112,bleeding,bleeding,1,1,1,bleeding,bleeding,ok
app_sem3c_0113,blindness,blindness,1,1,1,blindness,blindness,ok
app_sem3c_0114,blood,blood,1,1,1,blood,blood,ok
app_sem3c_0115,borderline funkcjonowanie,borderline functioning,1,1,1,borderline functioning,borderline functioning,ok
app_sem3c_0116,borderline pacjenci,borderline patients,1,1,1,borderline patients,borderline patients,ok
app_sem3c_0117,bowen's theory,bowen's theory,1,1,1,bowen's theory,Bowen’s theory,ok
app_sem3c_0118,brain-behavioral funkcja,brain-behavioral function,1,1,1,brain-behavioral function,brain-behavioral functions,ok
app_sem3c_0119,brain-derived,brain-derived,1,1,1,brain-derived,brain-derived,ok
app_sem3c_0120,brain-derived neurotrophic factor (bdnf) gene,brain-derived neurotrophic factor (bdnf) gene,1,1,1,brain-derived neurotrophic factor (bdnf) gene,Brain-Derived Neurotrophic Factor (BDNF) gene,ok
app_sem3c_0121,brainspotting terapia,brainspotting therapy,1,1,1,brainspotting therapy,Brainspotting therapy,ok
app_sem3c_0122,brca gene mutation,brca gene mutation,1,1,1,brca gene mutation,BRCA gene mutation,ok
app_sem3c_0124,brca2,brca2,1,1,1,brca2,BRCA2,ok
app_sem3c_0125,break up,break up,1,1,1,break up,Break up,ok
app_sem3c_0126,breast cancer,breast cancer,1,1,1,breast cancer,breast cancer,ok
app_sem3c_0127,breast reduction surgery,breast reduction surgery,1,1,1,breast reduction surgery,Breast reduction surgery,ok
app_sem3c_0128,breastfeeding,breastfeeding,1,1,1,breastfeeding,breastfeeding,ok
app_sem3c_0129,breastfeeding poczucie własnej skuteczności,breastfeeding self-efficacy,1,1,1,breastfeeding self-efficacy,breastfeeding self-efficacy,ok
app_sem3c_0130,breath-holding,breath-holding,1,1,1,breath-holding,Breath-holding,ok
app_sem3c_0131,brief interwencja,brief intervention,1,1,1,brief intervention,brief intervention,ok
app_sem3c_0132,broken heart,broken heart,1,1,1,broken heart,broken heart,ok
app_sem3c_0133,bulling,bulling,1,1,1,bulling,bulling,ok
app_sem3c_0134,buprenorphine,buprenorphine,1,1,1,buprenorphine,buprenorphine,ok
app_sem3c_0135,burden,burden,1,1,1,burden,burden,ok
app_sem3c_0138,błędna diagnoza,misdiagnosis,1,1,1,misdiagnosis,Misdiagnosis,ok
app_sem3c_0140,capacity,capacity,1,1,1,capacity,capacity,ok
app_sem3c_0141,car,car,1,1,1,car,CAR,strong_review_unresolved_acronym
app_sem3c_0143,cardiac zespół x,cardiac syndrome x,1,1,1,cardiac syndrome x,cardiac syndrome X,ok
app_sem3c_0145,cardiovascular risk,cardiovascular risk,1,1,1,cardiovascular risk,cardiovascular risk,ok
app_sem3c_0146,care relationship,care relationship,1,1,1,care relationship,care relationship,ok
app_sem3c_0147,caregiver,caregiver,1,1,1,caregiver,caregiver,ok
app_sem3c_0148,caregivers,caregivers,1,1,1,caregivers,caregivers,ok
app_sem3c_0150,catatonia,catatonia,1,1,1,catatonia,catatonia,ok
app_sem3c_0151,caudate nucleus,caudate nucleus,1,1,1,caudate nucleus,caudate nucleus,ok
app_sem3c_0153,cbcl score,cbcl score,1,1,1,cbcl score,CBCL score,ok
app_sem3c_0155,cechy patologiczne,pathological traits,1,1,1,pathological traits,Pathological traits,ok
app_sem3c_0156,cerebellar,cerebellar,1,1,1,cerebellar,cerebellar,ok
app_sem3c_0157,cerebellum,cerebellum,1,1,1,cerebellum,cerebellum,ok
app_sem3c_0158,cerebral and cerebellar atrophy,cerebral and cerebellar atrophy,1,1,1,cerebral and cerebellar atrophy,cerebral and cerebellar atrophy,ok
app_sem3c_0159,cftmea,cftmea,1,1,1,cftmea,CFTMEA,ok
app_sem3c_0160,change,change,1,1,1,change,change,ok
app_sem3c_0161,change in consultation frequency,change in consultation frequency,1,1,1,change in consultation frequency,change in consultation frequency,ok
app_sem3c_0162,childbearing age women,childbearing age women,1,1,1,childbearing age women,childbearing age women,ok
app_sem3c_0163,childbirth,childbirth,1,1,1,childbirth,childbirth,ok
app_sem3c_0165,chorobowość psychiatryczna,psychiatric morbidity,1,1,1,psychiatric morbidity,Psychiatric morbidity,ok
app_sem3c_0166,chromosome 17,chromosome 17,1,1,1,chromosome 17,chromosome 17,ok
app_sem3c_0167,chronically mentally ill,chronically mentally ill,1,1,1,chronically mentally ill,chronically mentally ill,ok
app_sem3c_0169,citalopram,citalopram,1,1,1,citalopram,citalopram,ok
app_sem3c_0172,classification trees,classification trees,1,1,1,classification trees,classification trees,ok
app_sem3c_0174,client challenges,client challenges,1,1,1,client challenges,client challenges,ok
app_sem3c_0175,climate change,climate change,1,1,1,climate change,climate change,ok
app_sem3c_0176,close relationships,close relationships,1,1,1,close relationships,close relationships,ok
app_sem3c_0177,cluster a,cluster a,1,1,1,cluster a,Cluster A,ok
app_sem3c_0178,cluster b,cluster b,1,1,1,cluster b,cluster B,ok
app_sem3c_0179,co-dependent mothers,co-dependent mothers,1,1,1,co-dependent mothers,co-dependent mothers,ok
app_sem3c_0180,co-uzależnienie,co-dependence,1,1,1,co-dependence,co-dependence,ok
app_sem3c_0181,co2,co2,1,1,1,co2,CO2,strong_review_unresolved_acronym
app_sem3c_0182,code of ethics,code of ethics,1,1,1,code of ethics,code of ethics,ok
app_sem3c_0183,codependency,codependency,1,1,1,codependency,codependency,ok
app_sem3c_0184,coherence,coherence,1,1,1,coherence,coherence,ok
app_sem3c_0185,common factor,common factor,1,1,1,common factor,common factors,ok
app_sem3c_0186,communication,communication,1,1,1,communication,communication,ok
app_sem3c_0187,communication competences,communication competences,1,1,1,communication competences,communication competences,ok
app_sem3c_0188,community,community,1,1,1,community,community,ok
app_sem3c_0189,community care,community care,1,1,1,community care,community care,ok
app_sem3c_0190,community leczenie programme,community treatment programme,1,1,1,community treatment programme,community treatment programme,ok
app_sem3c_0191,comparative studies,comparative studies,1,1,1,comparative studies,comparative studies,ok
app_sem3c_0192,compassion,compassion,1,1,1,compassion,compassion,ok
app_sem3c_0193,compassion for others,compassion for others,1,1,1,compassion for others,compassion for others,ok
app_sem3c_0194,competence,competence,1,1,1,competence,Competence,ok
app_sem3c_0195,compulsory leczenie / compulsory order,compulsory treatment/compulsory order,1,1,1,compulsory treatment/compulsory order,compulsory treatment/compulsory order,ok
app_sem3c_0196,computer,computer,1,1,1,computer,computer,ok
app_sem3c_0198,concentration,concentration,1,1,1,concentration,concentration,ok
app_sem3c_0199,conditional release,conditional release,1,1,1,conditional release,conditional release,ok
app_sem3c_0200,conduct zaburzenie,conduct disorder,1,1,1,conduct disorder,Conduct Disorder,ok
app_sem3c_0201,confirmatory factor analysis,confirmatory factor analysis,1,1,1,confirmatory factor analysis,confirmatory factor analysis,ok
app_sem3c_0203,connective tissue diseases,connective tissue diseases,1,1,1,connective tissue diseases,connective tissue diseases,ok
app_sem3c_0204,consent capacity,consent capacity,1,1,1,consent capacity,consent capacity,ok
app_sem3c_0205,contact centre,contact centre,1,1,1,contact centre,Contact Centre,ok
app_sem3c_0206,contact with the pacjent,contact with the patient,1,1,1,contact with the patient,contact with the patient,ok
app_sem3c_0207,containment measures,containment measures,1,1,1,containment measures,containment measures,ok
app_sem3c_0208,context and motivation to the leczenie,context and motivation to the treatment,1,1,1,context and motivation to the treatment,context and motivation to the treatment,ok
app_sem3c_0209,control,control,1,1,1,control,control,ok
app_sem3c_0210,conversational artificial intelligence,conversational artificial intelligence,1,1,1,conversational artificial intelligence,conversational artificial intelligence,ok
app_sem3c_0212,coping metody,coping methods,1,1,1,coping methods,coping methods,ok
app_sem3c_0213,coping pathophysiology,coping pathophysiology,1,1,1,coping pathophysiology,coping pathophysiology,ok
app_sem3c_0214,coping patterns,coping patterns,1,1,1,coping patterns,coping patterns,ok
app_sem3c_0216,core conflictual relationship theme,core conflictual relationship theme,1,1,1,core conflictual relationship theme,core conflictual relationship theme,ok
app_sem3c_0217,core conflictual relationship theme metoda,core conflictual relationship theme method,1,1,1,core conflictual relationship theme method,Core Conflictual Relationship Theme Method,ok
app_sem3c_0218,coronary diseases,coronary diseases,1,1,1,coronary diseases,coronary diseases,ok
app_sem3c_0219,coronary surgery,coronary surgery,1,1,1,coronary surgery,coronary surgery,ok
app_sem3c_0220,corpus callosum,corpus callosum,1,1,1,corpus callosum,corpus callosum,ok
app_sem3c_0221,corticotropin releasing hormone receptors,corticotropin releasing hormone receptors,1,1,1,corticotropin releasing hormone receptors,corticotropin releasing hormone receptors,ok
app_sem3c_0222,cortisol,cortisol,1,1,1,cortisol,cortisol,ok
app_sem3c_0223,cortisol awakening response,cortisol awakening response,1,1,1,cortisol awakening response,cortisol awakening response,ok
app_sem3c_0224,cost skuteczność,cost effectiveness,1,1,1,cost effectiveness,cost effectiveness,ok
app_sem3c_0225,cost-skuteczność analysis,cost-effectiveness analysis,1,1,1,cost-effectiveness analysis,cost-effectiveness analysis,ok
app_sem3c_0226,cotard zespół,cotard syndrome,1,1,1,cotard syndrome,Cotard syndrome,ok
app_sem3c_0229,couple terapia,couple therapy,1,1,1,couple therapy,couple therapy,ok
app_sem3c_0230,couples terapia,couples therapy,1,1,1,couples therapy,couples therapy,ok
app_sem3c_0231,course,course,1,1,1,course,course,ok
app_sem3c_0232,course of illness,course of illness,1,1,1,course of illness,course of illness,ok
app_sem3c_0235,creative thinking,creative thinking,1,1,1,creative thinking,creative thinking,ok
app_sem3c_0236,creutzfeldt-jakob disease,creutzfeldt-jakob disease,1,1,1,creutzfeldt-jakob disease,Creutzfeldt-Jakob disease,ok
app_sem3c_0237,crohn's disease,crohn's disease,1,1,1,crohn's disease,Crohn’s Disease,ok
app_sem3c_0238,cross-cultural study,cross-cultural study,1,1,1,cross-cultural study,cross-cultural study,ok
app_sem3c_0239,cross-lagged panel analysis,cross-lagged panel analysis,1,1,1,cross-lagged panel analysis,cross-lagged panel analysis,ok
app_sem3c_0240,cso,cso,1,1,1,cso,CSO,strong_review_unresolved_acronym
app_sem3c_0241,cukrzyca,diabetes,1,1,1,diabetes,diabetes,ok
app_sem3c_0242,cukrzyca mellitus,diabetes mellitus,1,1,1,diabetes mellitus,diabetes mellitus,ok
app_sem3c_0243,cukrzyca type 1,diabetes type 1,1,1,1,diabetes type 1,diabetes type 1,ok
app_sem3c_0244,cultural differences,cultural differences,1,1,1,cultural differences,cultural differences,ok
app_sem3c_0245,cultural społeczny czynnik,cultural social factor,1,1,1,cultural social factor,cultural social factors,ok
app_sem3c_0248,cyberchondria,cyberchondria,1,1,1,cyberchondria,Cyberchondria,ok
app_sem3c_0249,cyberpsychology,cyberpsychology,1,1,1,cyberpsychology,cyberpsychology,ok
app_sem3c_0250,cyclothymic,cyclothymic,1,1,1,cyclothymic,cyclothymic,ok
app_sem3c_0251,cyp2d,cyp2d,1,1,1,cyp2d,CYP2D,ok
app_sem3c_0252,cytokines,cytokines,1,1,1,cytokines,cytokines,ok
app_sem3c_0254,d2 receptors,d2 receptors,1,1,1,d2 receptors,D2 receptors,ok
app_sem3c_0255,dark side of osobowość,dark side of personality,1,1,1,dark side of personality,dark side of personality,ok
app_sem3c_0256,dat and comt polimorfizm,dat and comt polymorphism,1,1,1,dat and comt polymorphism,DAT and COMT polymorphism,ok
app_sem3c_0258,day hospital,day hospital,1,1,1,day hospital,day hospital,ok
app_sem3c_0259,day-care ward,day-care ward,1,1,1,day-care ward,day-care ward,ok
app_sem3c_0260,death,death,1,1,1,death,death,ok
app_sem3c_0261,death instinct,death instinct,1,1,1,death instinct,death instinct,ok
app_sem3c_0262,decision algorithm,decision algorithm,1,1,1,decision algorithm,decision algorithm,ok
app_sem3c_0263,decision-making,decision-making,1,1,1,decision-making,decision-making,ok
app_sem3c_0264,decision-making capacity,decision-making capacity,1,1,1,decision-making capacity,Decision-Making Capacity,ok
app_sem3c_0265,defect,defect,1,1,1,defect,defect,ok
app_sem3c_0266,defense styles,defense styles,1,1,1,defense styles,defense styles,ok
app_sem3c_0268,deinstitutionalization,deinstitutionalization,1,1,1,deinstitutionalization,deinstitutionalization,ok
app_sem3c_0269,delirium,delirium,1,1,1,delirium,delirium,ok
app_sem3c_0271,delusion-proneness,delusion-proneness,1,1,1,delusion-proneness,delusion-proneness,ok
app_sem3c_0272,demographic factor,demographic factor,1,1,1,demographic factor,demographic factors,ok
app_sem3c_0274,depot formulation,depot formulation,1,1,1,depot formulation,depot formulation,ok
app_sem3c_0276,dermatosis,dermatosis,1,1,1,dermatosis,dermatosis,ok
app_sem3c_0277,desnos,desnos,1,1,1,desnos,DESNOS,ok
app_sem3c_0278,detection,detection,1,1,1,detection,detection,ok
app_sem3c_0280,determinants of zdrowie,determinants of health,1,1,1,determinants of health,determinants of health,ok
app_sem3c_0281,detoxification,detoxification,1,1,1,detoxification,detoxification,ok
app_sem3c_0282,development,development,1,1,1,development,development,ok
app_sem3c_0283,developmental dyslexia,developmental dyslexia,1,1,1,developmental dyslexia,developmental dyslexia,ok
