keyword_concept_polish_analysis,n_records,n_articles,n_previous_3c_concepts,example_raw_keywords,example_previous_concepts
galenika mikrosfer,1,1,1,microsphere galenics,galenika mikrosfer
galvanic skin response,1,1,1,galvanic skin response,galvanic skin response
giftedness,1,1,1,giftedness,giftedness
gingivitis,1,1,1,gingivitis,gingivitis
glutamic acid,1,1,1,glutamic acid,glutamic acid
glycine,1,1,1,glycine,glycine
grupa process,1,1,1,group process,grupa process
gsdsii,1,1,1,GSDSII,gsdsii
guided discovery,1,1,1,guided discovery,guided discovery
guided mastery,1,1,1,guided mastery,guided mastery
hamowanie motoryczne,1,1,1,motor inhibition,hamowanie motoryczne
haplotype,1,1,1,haplotype,haplotype
harm reduction,1,1,1,harm reduction,harm reduction
harmonia wewnętrzna,1,1,1,inner harmony,harmonia wewnętrzna
hashimoto's disease,1,1,1,Hashimoto’s disease,hashimoto's disease
healthy subjects,1,1,1,healthy subjects,healthy subjects
helplessness,1,1,1,helplessness,helplessness
hemodialysis,1,1,1,hemodialysis,hemodialysis
hepatitis c,1,1,1,hepatitis C,hepatitis c
homicide,1,1,1,Homicide,homicide
hpa axis,1,1,1,HPA axis,hpa axis
human destructiveness,1,1,1,human destructiveness,human destructiveness
hunger strike,1,1,1,hunger strike,hunger strike
hyperprolactinemia,1,1,1,hyperprolactinemia,hyperprolactinemia
hyperthymic,1,1,1,hyperthymic,hyperthymic
hyperthyroidism,1,1,1,hyperthyroidism,hyperthyroidism
hypochondriasis,1,1,1,hypochondriasis,hypochondriasis
hypothyroidism,1,1,1,hypothyroidism,hypothyroidism
i agree,1,1,1,I agree,i agree
i do not agree,1,1,1,I do not agree,i do not agree
idealization,1,1,1,idealization,idealization
identification,1,1,1,identification,identification
imaginary and symbolic elaboration,1,1,1,imaginary and symbolic elaboration,imaginary and symbolic elaboration
immunology,1,1,1,immunology,immunology
impasse,1,1,1,impasse,impasse
impulsive and restrictive behaviors,1,1,1,impulsive and restrictive behaviours,impulsive and restrictive behaviors
impulsiveness,1,1,1,impulsiveness,impulsiveness
incest,1,1,1,incest,incest
incompetence / incapacity,1,1,1,incompetence/incapacity,incompetence / incapacity
indeks słów kluczowych,1,1,1,Keywords index,indeks słów kluczowych
indications to the terapia,1,1,1,indications to the therapy,indications to the terapia
indigenous peoples of the north siberia,1,1,1,indigenous peoples of the North Siberia,indigenous peoples of the north siberia
innowacje,1,1,1,innovations,innowacje
instynkt,1,1,1,instinct,instynkt
insulinooporność,1,1,1,insulin resistance,insulinooporność
interferon,1,1,1,interferon,interferon
interferon beta,1,1,1,interferon-beta,interferon beta
introjekt,1,1,1,introject,introjekt
intymność,1,1,1,intimacy,intymność
jakość of care,1,1,1,quality of care,jakość of care
kliniczny intuition,1,1,1,clinical intuition,kliniczny intuition
kliniczny utility,1,1,1,clinical utility,kliniczny utility
kryteria normatywne,1,1,1,normative criteria,kryteria normatywne
kulturystyka nierywalizacyjna,1,1,1,non-competitive bodybuilding,kulturystyka nierywalizacyjna
lacosamide,1,1,1,lacosamide,lacosamide
language,1,1,1,language,language
language exercises,1,1,1,language exercises,language exercises
left ventricular hypertrophy,1,1,1,left ventricular hypertrophy,left ventricular hypertrophy
lesch typology,1,1,1,Lesch typology,lesch typology
leucotomy,1,1,1,leucotomy,leucotomy
lipedema,1,1,1,Lipedema,lipedema
lipomatosis,1,1,1,lipomatosis,lipomatosis
lithuania,1,1,1,Lithuania,lithuania
major oporność,1,1,1,major resistance,major oporność
manganese superoxide dismutase,1,1,1,manganese superoxide dismutase,manganese superoxide dismutase
manipulation,1,1,1,manipulation,manipulation
manuls,1,1,1,manuls,manuls
marihuana,1,1,1,marihuana,marihuana
maskarada,1,1,1,masquerade,maskarada
mastektomia,1,1,1,mastectomy,mastektomia
mastektomia profilaktyczna,1,1,1,prophylactic mastectomy,mastektomia profilaktyczna
małżeński,1,1,1,marital,małżeński
mechanizmy,1,1,1,mechanisms,mechanizmy
media,1,1,1,media,media
mediational perspective,1,1,1,mediational perspective,mediational perspective
meditation,1,1,1,meditation,meditation
memantine,1,1,1,memantine,memantine
metacognition,1,1,1,metacognition,metacognition
metadon,1,1,1,methadone,metadon
methamphetamine users,1,1,1,Methamphetamine Users,methamphetamine users
midazolam,1,1,1,Midazolam,midazolam
migrena,1,1,1,migraine,migrena
mikrobiom,1,1,1,microbiome,mikrobiom
mikromacierz oligonukleotydowa,1,1,1,oligonucleotide microarray,mikromacierz oligonukleotydowa
mindful eating,1,1,1,mindful eating,mindful eating
mirror processes,1,1,1,mirror processes,mirror processes
mixed state,1,1,1,mixed state,mixed state
mizofonia,1,1,1,misophonia,mizofonia
monoterpen,1,1,1,monotherpen,monoterpen
moralny agent,1,1,1,moral agent,moralny agent
moralny wstręt,1,1,1,moral disgust,moralny wstręt
mr terapia,1,1,1,MR therapy,mr terapia
music terapia,1,1,1,music therapy,music terapia
napływ,1,1,1,influx,napływ
nawrót,1,1,1,relapse,nawrót
newsletter,1,1,1,Newsletter,newsletter
niedopasowanie,1,1,1,mismatch,niedopasowanie
niewydolność,1,1,1,failure,niewydolność
niewydolność nerek,1,1,1,kidney failure,niewydolność nerek
novel terapia,1,1,1,novel therapy,novel terapia
o-życie,1,1,1,O-LIFE,o-życie
obraz,1,1,1,picture,obraz
odżywianie,1,1,1,nutrition,odżywianie
oksytocyna,1,1,1,oxytocin,oksytocyna
organiczność,1,1,1,Organicity,organiczność
osadzeni,1,1,1,inmates,osadzeni
osobisty terapia,1,1,1,personal therapy,osobisty terapia
osocze,1,1,1,plasma,osocze
osteologia,1,1,1,osteology,osteologia
parametry of mobilisation of the unconscious,1,1,1,parameters of mobilisation of the unconscious,parametry of mobilisation of the unconscious
paternalizm,1,1,1,paternalism,paternalizm
patogenowy wstręt,1,1,1,pathogen disgust,patogenowy wstręt
patologia,1,1,1,pathology,patologia
patologiczne skubanie skóry,1,1,1,pathological skin picking,patologiczne skubanie skóry
patologiczne zamartwianie się,1,1,1,pathlogical worry,patologiczne zamartwianie się
patologiczny,1,1,1,pathological,patologiczny
periodontal zdrowie,1,1,1,periodontal health,periodontal zdrowie
pierwotny chłoniak ośrodkowego układu nerwowego,1,1,1,Primary central nervous system lymphoma,pierwotny chłoniak ośrodkowego układu nerwowego
po wypisie,1,1,1,post-discharge,po wypisie
poczucie sprawstwa,1,1,1,mastery,poczucie sprawstwa
polimorfizm,1,1,1,polymorphism,polimorfizm
polskie mity,1,1,1,Polish myths,polskie mity
polskie mity patriotyczne,1,1,1,Polish patriotism myths,polskie mity patriotyczne
pompa insulinowa,1,1,1,insulin pump,pompa insulinowa
popędliwość negatywna,1,1,1,negative urgency,popędliwość negatywna
popędliwość pozytywna,1,1,1,positive urgency,popędliwość pozytywna
pornografia,1,1,1,pornography,pornografia
poród drogami natury,1,1,1,normal vaginal delivery,poród drogami natury
postkomunistyczny,1,1,1,post-communist,postkomunistyczny
postmodernizm,1,1,1,postmodernism,postmodernizm
postrzegana kontrola,1,1,1,perceived control,postrzegana kontrola
potrzeby pacjentów,1,1,1,patients' needs,potrzeby pacjentów
położnictwo,1,1,1,midwifery,położnictwo
praktyk,1,1,1,practicioner,praktyk
prescription,1,1,1,prescription,prescription
pretherapy waiting,1,1,1,pretherapy waiting,pretherapy waiting
primary zdrowie care,1,1,1,primary health care,primary zdrowie care
problem prawny,1,1,1,juridical problem,problem prawny
profilaktyczne usunięcie przydatków,1,1,1,prophylactic adnexectomy,profilaktyczne usunięcie przydatków
propofol,1,1,1,Propofol,propofol
prospective iu,1,1,1,prospective IU,prospective iu
przedawkowania,1,1,1,overdoses,przedawkowania
psorasis,1,1,1,psorasis,psorasis
psychical activity,1,1,1,psychical activity,psychical activity
psychiczny contamination,1,1,1,mental contamination,psychiczny contamination
psychodrama,1,1,1,psychodrama,psychodrama
psychogenic binge easting,1,1,1,psychogenic binge easting,psychogenic binge easting
public zdrowie,1,1,1,public health,public zdrowie
qol measures,1,1,1,QoL measures,qol measures
quarantine,1,1,1,quarantine,quarantine
rapid cycling,1,1,1,rapid cycling,rapid cycling
reliable change,1,1,1,reliable change,reliable change
repeated transcranial magnetic stimulation,1,1,1,repeated transcranial magnetic stimulation,repeated transcranial magnetic stimulation
resident,1,1,1,resident,resident
resiliency,1,1,1,resiliency,resiliency
respiration,1,1,1,respiration,respiration
reversibility,1,1,1,reversibility,reversibility
rhinoplasty surgery,1,1,1,Rhinoplasty Surgery,rhinoplasty surgery
rosacea,1,1,1,rosacea,rosacea
ruminative thinking,1,1,1,ruminative thinking,ruminative thinking
runaway girls,1,1,1,Runaway Girls,runaway girls
russia,1,1,1,Russia,russia
różnice indywidualne,1,1,1,individual differences,różnice indywidualne
salience,1,1,1,salience,salience
saliva,1,1,1,saliva,saliva
schema modes,1,1,1,schema modes,schema modes
scientific production,1,1,1,scientific production,scientific production
seizures,1,1,1,seizures,seizures
selenium,1,1,1,selenium,selenium
semantic priming,1,1,1,semantic priming,semantic priming
semantic satiation,1,1,1,semantic satiation,semantic satiation
send by email,1,1,1,Send by email,send by email
seniors,1,1,1,seniors,seniors
sensation seeking,1,1,1,sensation seeking,sensation seeking
sertraline,1,1,1,sertraline,sertraline
serum,1,1,1,Serum,serum
serum concentration,1,1,1,serum concentration,serum concentration
shyness,1,1,1,shyness,shyness
skydivers,1,1,1,skydivers,skydivers
socioeconomic status,1,1,1,socioeconomic status,socioeconomic status
solastalgia,1,1,1,solastalgia,solastalgia
solution focused brief terapia,1,1,1,Solution Focused Brief Therapy,solution focused brief terapia
somatic zaburzenie,1,1,1,somatic disorders,somatic zaburzenie
somatization,1,1,1,somatization,somatization
sparteine oxidation,1,1,1,sparteine oxidation,sparteine oxidation
specific zaburzenie,1,1,1,specific disorder,specific zaburzenie
spect,1,1,1,SPECT,spect
spouse burden,1,1,1,Spouse burden,spouse burden
sprawcy,1,1,1,offenders,sprawcy
stages of supervision,1,1,1,stages of supervision,stages of supervision
statystyka,1,1,1,statistics,statystyka
story,1,1,1,story,story
stosunek neutrofili do limfocytów,1,1,1,Neutrophil lymphocyte ratio,stosunek neutrofili do limfocytów
strata materialna,1,1,1,material loss,strata materialna
structure,1,1,1,structure,structure
stuttering,1,1,1,stuttering,stuttering
subjective aspects,1,1,1,subjective aspects,subjective aspects
subtypes,1,1,1,subtypes,subtypes
supervision,1,1,1,supervision,supervision
suppression,1,1,1,suppression,suppression
survivor,1,1,1,survivor,survivor
survivors,1,1,1,survivors,survivors
synthetic cannabinoids,1,1,1,synthetic cannabinoids,synthetic cannabinoids
taboo,1,1,1,taboo,taboo
tako tsubo,1,1,1,tako tsubo,tako tsubo
teachers,1,1,1,teachers,teachers
temporomandibular joint dysfunction,1,1,1,temporomandibular joint dysfunction,temporomandibular joint dysfunction
temporomandibular zaburzenie,1,1,1,temporomandibular disorders,temporomandibular zaburzenie
temptation of omnipotence,1,1,1,temptation of omnipotence,temptation of omnipotence
terapeuta characteristics,1,1,1,therapist characteristics,terapeuta characteristics
terapeuta credibility,1,1,1,therapist credibility,terapeuta credibility
terapeuta language,1,1,1,therapist language,terapeuta language
territoriality,1,1,1,territoriality,territoriality
thanatosis,1,1,1,Thanatosis,thanatosis
the dark triad,1,1,1,the Dark Triad,the dark triad
the light triad,1,1,1,the Light Triad,the light triad
the paradox,1,1,1,The paradox,the paradox
therapeutic influence,1,1,1,therapeutic influence,therapeutic influence
therapeutic relation,1,1,1,therapeutic relation,therapeutic relation
therapeutics,1,1,1,therapeutics,therapeutics
therapists,1,1,1,therapists,therapists
topics index,1,1,1,Topics index,topics index
topiramate,1,1,1,topiramate,topiramate
transcranial direct current stimulation,1,1,1,transcranial direct current stimulation,transcranial direct current stimulation
transcranial direct current stimulation (tdcs),1,1,1,Transcranial Direct Current Stimulation (tDCS),transcranial direct current stimulation (tdcs)
transinstitutionalization,1,1,1,transinstitutionalization,transinstitutionalization
transsexualism,1,1,1,transsexualism,transsexualism
uhplc,1,1,1,UHPLC,uhplc
unconscious primitive murderous rage,1,1,1,unconscious primitive murderous rage,unconscious primitive murderous rage
unconsciousness in the supervision process,1,1,1,unconsciousness in the supervision process,unconsciousness in the supervision process
uncontrolled eating,1,1,1,uncontrolled eating,uncontrolled eating
underachievement,1,1,1,Underachievement,underachievement
unemployment,1,1,1,unemployment,unemployment
urine,1,1,1,urine,urine
utilization zachowanie,1,1,1,utilization behavior,utilization zachowanie
użytkownicy dożylni,1,1,1,IV Users,użytkownicy dożylni
vaginismus,1,1,1,Vaginismus,vaginismus
vagus nerve,1,1,1,vagus nerve,vagus nerve
verbal fluency,1,1,1,verbal fluency,verbal fluency
vikings,1,1,1,Vikings,vikings
virtual reality,1,1,1,virtual reality,virtual reality
visegrad countries,1,1,1,Visegrad countries,visegrad countries
visual imaginery,1,1,1,visual imaginery,visual imaginery
voice hearing,1,1,1,voice hearing,voice hearing
voice signals,1,1,1,voice signals,voice signals
waiting list,1,1,1,waiting list,waiting list
website accessibility,1,1,1,website accessibility,website accessibility
weight gain,1,1,1,weight gain,weight gain
weight loss,1,1,1,weight loss,weight loss
weight loss terapia,1,1,1,weight loss therapy,weight loss terapia
white blood cells,1,1,1,white blood cells,white blood cells
wiek pacjentów,1,1,1,patients age,wiek pacjentów
wielokryterialny,1,1,1,multi-criteria,wielokryterialny
wisconsin card sorting test,1,1,1,Wisconsin Card Sorting Test,wisconsin card sorting test
więcej,1,1,1,more,więcej
wnioskowanie,1,1,1,inference,wnioskowanie
worry,1,1,1,worry,worry
wrzesien,1,1,1,wrzesien,wrzesien
wytyczne WHO,1,1,1,OMS guidelines,wytyczne WHO
xenomelia,1,1,1,xenomelia,xenomelia
zaangażowanie,1,1,1,involvement,zaangażowanie
zaburzenia,1,1,1,Disorders,zaburzenia
zaburzenia seksualne i seksualność kliniczna,1,1,1,libido,libido
zaburzenie,1,1,1,disorder,zaburzenie
zachowanie macierzyńskie,1,1,1,maternal behaviour,zachowanie macierzyńskie
zachowanie ojcowskie,1,1,1,paternal behaviour,zachowanie ojcowskie
zasób informacyjny,1,1,1,information resource,zasób informacyjny
zataria multiflora boiss,1,1,1,Zataria Multiflora Boiss,zataria multiflora boiss
zdrowie,1,1,1,Health,zdrowie
zdrowie care providers,1,1,1,health care providers,zdrowie care providers
zdrowie food,1,1,1,health food,zdrowie food
zjawiska fizjologiczne,1,1,1,physiological phenomena,zjawiska fizjologiczne
zolpidem,1,1,1,zolpidem,zolpidem
śmiertelność,1,1,1,mortality,śmiertelność
świąd,1,1,1,itch,świąd
Żydzi,1,1,1,Jews,Żydzi
życie experience,1,1,1,life experience,życie experience
żydowski ruch oporu,1,1,1,Jewish resistance,żydowski ruch oporu
