analysis_period_order,analysis_period,keyword_concept_polish_analysis,n_keyword_records,n_articles,example_raw_keywords
3,2015-2019,"religia, duchowość i egzystencja",3,2,meaning in life | meaning systems | the centrality of religiosity
3,2015-2019,"agresja, przemoc i zachowania antyspołeczne",2,2,forensic psychiatry | violence
3,2015-2019,formułowanie przypadku,2,2,formulation
3,2015-2019,intensywny,2,2,Intensive
3,2015-2019,"kobiety, ciąża i zdrowie okołoporodowe",2,2,breastfeeding self-efficacy | women
3,2015-2019,krótkoterminowy,2,2,Short-term
3,2015-2019,"ocena kliniczna, psychometria i narzędzia pomiarowe",2,2,CPRS | psychometric properties
3,2015-2019,organizacja opieki psychiatrycznej,2,2,Psychiatric Outpatients | incapacity for service
3,2015-2019,profilaktyka i promocja zdrowia,2,2,health behavior | prevention
3,2015-2019,przestrzeganie zaleceń i współpraca w leczeniu,2,2,adherence | nonadherence
3,2015-2019,"rodzina, rodzeństwo i bliscy",2,2,siblings
3,2015-2019,seksualność i orientacja seksualna,2,2,homosexuality
3,2015-2019,zaburzenia snu,2,2,sleep quality
3,2015-2019,poradnictwo i konsultacja psychologiczna,2,1,counseling | effective counselor
3,2015-2019,acceptance,1,1,acceptance
3,2015-2019,aerobic ćwiczenia,1,1,aerobic exercise
3,2015-2019,aktywność fizyczna,1,1,physical activity
3,2015-2019,allience,1,1,Allience
3,2015-2019,applicants,1,1,Applicants
3,2015-2019,arnold chiari malformation,1,1,Arnold chiari malformation
3,2015-2019,arterial stiffness,1,1,arterial stiffness
3,2015-2019,audit,1,1,audit
3,2015-2019,autocreation,1,1,autocreation
3,2015-2019,autonomous motivation,1,1,autonomous motivation
3,2015-2019,białko prionowe,1,1,prion protein
3,2015-2019,binging,1,1,binging
3,2015-2019,bioethics,1,1,bioethics
3,2015-2019,biographical narration,1,1,biographical narration
3,2015-2019,biography,1,1,biography
3,2015-2019,bisexuality,1,1,bisexuality
3,2015-2019,bowen's theory,1,1,Bowen’s theory
3,2015-2019,break up,1,1,Break up
3,2015-2019,bulling,1,1,bulling
3,2015-2019,burden,1,1,burden
3,2015-2019,caregiver,1,1,caregiver
3,2015-2019,caregivers,1,1,caregivers
3,2015-2019,catatonia,1,1,catatonia
3,2015-2019,client challenges,1,1,client challenges
3,2015-2019,cluster b,1,1,cluster B
3,2015-2019,community,1,1,community
3,2015-2019,cyberpsychology,1,1,cyberpsychology
3,2015-2019,decision algorithm,1,1,decision algorithm
3,2015-2019,depot formulation,1,1,depot formulation
3,2015-2019,dermatosis,1,1,dermatosis
3,2015-2019,detection,1,1,detection
3,2015-2019,detoxification,1,1,detoxification
3,2015-2019,development,1,1,development
3,2015-2019,dialog motywujący,1,1,motivational interviewing
3,2015-2019,dramatologia,1,1,dramatology
3,2015-2019,dyscalculia,1,1,dyscalculia
3,2015-2019,działania niepożądane i bezpieczeństwo leczenia,1,1,adverse effect
3,2015-2019,early retirement,1,1,early retirement
3,2015-2019,eartquake victims,1,1,eartquake victims
3,2015-2019,east azerbaijian,1,1,East Azerbaijian
3,2015-2019,eating behaviors,1,1,eating behaviours
3,2015-2019,emergencies,1,1,emergencies
3,2015-2019,emergency medicine residents,1,1,Emergency Medicine residents
3,2015-2019,evidence,1,1,evidence
3,2015-2019,evolution,1,1,evolution
3,2015-2019,exposure terapia,1,1,exposure therapy
3,2015-2019,eye movement desensitization and reprocessing,1,1,Eye Movement Desensitization and Reprocessing
3,2015-2019,fenobarbital,1,1,phenobarbital
3,2015-2019,firefighters,1,1,firefighters
3,2015-2019,fitness,1,1,fitness
3,2015-2019,fizyczny appearance,1,1,physical appearance
3,2015-2019,functional zaburzenie,1,1,functional disorders
3,2015-2019,funkcjonariusze policji,1,1,police officers
3,2015-2019,galenika mikrosfer,1,1,microsphere galenics
3,2015-2019,giftedness,1,1,giftedness
3,2015-2019,hemodialysis,1,1,hemodialysis
3,2015-2019,homicide,1,1,Homicide
3,2015-2019,hpa axis,1,1,HPA axis
3,2015-2019,hypochondriasis,1,1,hypochondriasis
3,2015-2019,identification,1,1,identification
3,2015-2019,imaginary and symbolic elaboration,1,1,imaginary and symbolic elaboration
3,2015-2019,indigenous peoples of the north siberia,1,1,indigenous peoples of the North Siberia
3,2015-2019,innowacje,1,1,innovations
3,2015-2019,konflikt,1,1,conflict
3,2015-2019,lacosamide,1,1,lacosamide
3,2015-2019,language,1,1,language
3,2015-2019,left ventricular hypertrophy,1,1,left ventricular hypertrophy
3,2015-2019,lipomatosis,1,1,lipomatosis
3,2015-2019,lithuania,1,1,Lithuania
3,2015-2019,maskarada,1,1,masquerade
3,2015-2019,meditation,1,1,meditation
3,2015-2019,metadon,1,1,methadone
3,2015-2019,methamphetamine users,1,1,Methamphetamine Users
3,2015-2019,metylofenidat,1,1,Methylphenidate
3,2015-2019,migrena,1,1,migraine
3,2015-2019,mikrobiom,1,1,microbiome
3,2015-2019,nawrót,1,1,relapse
3,2015-2019,niedopasowanie,1,1,mismatch
3,2015-2019,niepełnosprawność,1,1,invalidity
3,2015-2019,niewydolność,1,1,failure
3,2015-2019,opór,1,1,resistance
3,2015-2019,organiczność,1,1,Organicity
3,2015-2019,paternalizm,1,1,paternalism
3,2015-2019,patologiczne zamartwianie się,1,1,pathlogical worry
3,2015-2019,po wypisie,1,1,post-discharge
3,2015-2019,popędliwość negatywna,1,1,negative urgency
3,2015-2019,popędliwość pozytywna,1,1,positive urgency
3,2015-2019,poród drogami natury,1,1,normal vaginal delivery
3,2015-2019,postrzegana kontrola,1,1,perceived control
3,2015-2019,potrzeby pacjentów,1,1,patients' needs
3,2015-2019,praktyk,1,1,practicioner
3,2015-2019,psychical activity,1,1,psychical activity
3,2015-2019,psychodermatologia,1,1,psychodermatology
3,2015-2019,resident,1,1,resident
3,2015-2019,rhinoplasty surgery,1,1,Rhinoplasty Surgery
3,2015-2019,schema modes,1,1,schema modes
3,2015-2019,selenium,1,1,selenium
3,2015-2019,shyness,1,1,shyness
3,2015-2019,solution focused brief terapia,1,1,Solution Focused Brief Therapy
3,2015-2019,somatization,1,1,somatization
3,2015-2019,spouse burden,1,1,Spouse burden
3,2015-2019,starzenie się i osoby starsze,1,1,Elderly
3,2015-2019,structure,1,1,structure
3,2015-2019,styl humoru,1,1,humour style
3,2015-2019,suppression,1,1,suppression
3,2015-2019,synthetic cannabinoids,1,1,synthetic cannabinoids
3,2015-2019,teachers,1,1,teachers
3,2015-2019,temporomandibular joint dysfunction,1,1,temporomandibular joint dysfunction
3,2015-2019,temporomandibular zaburzenie,1,1,temporomandibular disorders
3,2015-2019,terapeuta credibility,1,1,therapist credibility
3,2015-2019,terapeuta language,1,1,therapist language
3,2015-2019,the paradox,1,1,The paradox
3,2015-2019,therapeutic influence,1,1,therapeutic influence
3,2015-2019,topiramate,1,1,topiramate
3,2015-2019,transsexualism,1,1,transsexualism
3,2015-2019,uncontrolled eating,1,1,uncontrolled eating
3,2015-2019,underachievement,1,1,Underachievement
3,2015-2019,vagus nerve,1,1,vagus nerve
3,2015-2019,vikings,1,1,Vikings
3,2015-2019,virtual reality,1,1,virtual reality
3,2015-2019,weight gain,1,1,weight gain
3,2015-2019,weight loss,1,1,weight loss
3,2015-2019,white blood cells,1,1,white blood cells
3,2015-2019,wrzesien,1,1,wrzesien
3,2015-2019,"wyniki leczenia, skuteczność i rokowanie",1,1,recovery
3,2015-2019,zaangażowanie,1,1,involvement
3,2015-2019,zaburzenia,1,1,Disorders
3,2015-2019,zaburzenia dysocjacyjne i somatoformiczne,1,1,somatoform
3,2015-2019,zataria multiflora boiss,1,1,Zataria Multiflora Boiss
3,2015-2019,zdrowie,1,1,Health
3,2015-2019,zolpidem,1,1,zolpidem
3,2015-2019,życie experience,1,1,life experience
4,2020-2025,schizofrenia i zaburzenia psychotyczne,78,61,Antidepressant | Depressed mood | Depression | Depressive disorder | First Episode Schizophrenia | Psychosocial Impact | Psychosomatic disorder | antipsychotic agents
4,2020-2025,interwencje terapeutyczne i rehabilitacja,57,52,Affect regulation training | Early Intervention | Mental Disorders | Mental Health | Mental health | Multidisciplinary Treatment | Residential Psychiatric Treatment | Resiliency training
4,2020-2025,zaburzenia osobowości i cechy osobowości,48,39,Adolescents | Regulatory Theory of Temperament | The big five personality factors | adolescence | affective temperaments | antisocial disorders | child temperament | children and adolescents
4,2020-2025,funkcjonowanie społeczne i wsparcie społeczne,35,29,Attachment | Paternal prenatal bonding | Paternal–fetal attachment | Social Media | anti-stigma campaign | attachment | attachment style | care relationship
4,2020-2025,lęk i zaburzenia lękowe,30,29,Anxiety | Health anxiety to Covid-19 | Youth Anxiety Measure for DSM-5 | anxiety | anxiety disorder | anxiety disorders | anxiety sensitivity | ecological anxiety
4,2020-2025,"trauma, PTSD i zaburzenia stresowe",38,28,PTSD | Posttraumatic Stress Disorder (PTSD) | Stress | Traumatic lower limb surgery | childhood trauma | chronic stress | cognitive processing of trauma | cognitive trauma processing
4,2020-2025,choroby somatyczne i współchorobowość medyczna,30,28,Atopic Dermatitis | Psychiatric illness | Type 1 diabetes | cancer | comorbidity | coronary diseases | coronary surgery | diabetes type 1
4,2020-2025,COVID-19 i pandemia,30,24,COVID-19 | COVID-19 pandemic | Covid-19 | SARS-COV-2 | SARS-CoV-2 | SARS-Cov-2 | coronavirus | covid-19
4,2020-2025,zaburzenia używania substancji i uzależnienia,27,22,Fetal Alcohol Syndrome | Opioid Stabilization | alcohol addiction | alcohol consumption | alcohol use disorder | alcohol-exposed pregnancy | behavioral addictions | cannabis
4,2020-2025,"samoocena, tożsamość i obraz siebie",26,22,Intolerance of uncertainty | Prolonged Exposure | aggression | coherence | facial expression | hospitalization | identity quest | inhibitory IU
4,2020-2025,"neurobiologia, genetyka i biomarkery",23,19,Anti-N Methyl-D-Aspartate Receptor Antibodies | Autoimmune Encephalitis | BRCA gene mutation | Brainspotting therapy | General Factor Specification | Neurofibromatosis 1 | Neuropsychiatric Manifestations | autoimmune disease
4,2020-2025,"emocje, afekt i regulacja emocji",22,19,Emotional Disposition | Facial emotion | Negative affects | Positive affects | anhedonia change | anhedonia intensity | emotion recognition | emotion regulation
4,2020-2025,psychologia kliniczna i koncepcje psychologiczne,17,15,Psychological Assistance | Psychological Immunity | creativity | flexibility | impulsivity | psychological Flow | psychological counselors | psychological disorders
4,2020-2025,depresja i zaburzenia depresyjne,12,12,Attitude Scale | Conners Scale | bipolar disorders | diagnosis | dual diagnosis | mood disorder | personality assessment | psychological assessment
4,2020-2025,zaburzenia neurorozwojowe i autyzm,14,11,: Attention deficit hyperactivity disorder | Cognitive function | autism | autism spectrum | autism spectrum disorders | cognitive functions | cognitive impairments | developmental dyslexia
4,2020-2025,metodologia badań i projekt badawczy,14,10,Dimensional models | Follow-up | Growth Resources Model | animal model | bifactor model | case study | coping methods | cross-lagged panel analysis
4,2020-2025,zaburzenia odżywiania i obraz ciała,12,9,anorexia nervosa | body esteem | body mass index | bulimia nervosa | diabulimia | disordered eating | distorted body image | eating disorders
4,2020-2025,"praca, edukacja i funkcjonowanie zawodowe",10,9,Health care workers | education | health care workers (hcws) | health workers | healthcare professionals | interdisciplinary cooperation | professionals | psychiatric nurses
4,2020-2025,technologie cyfrowe i internet,8,8,Instagram | Online Help | computer-assisted image processing | online | online therapy | thendency to computer games
4,2020-2025,jakość życia i dobrostan,8,7,Health related Quality of Life | Quality of Life | Quality of Life (QoL) | health -related quality of life | life satisfaction | marital satisfaction | quality of life | well-being
4,2020-2025,farmakoterapia i leki psychotropowe,7,7,Chronic Pain | alexithymia | chronic disease | chronic pain | electroconvulsive therapy | individual barriers to taking medications
4,2020-2025,dorośli i etapy życia,6,6,adulthood | adults | bisexual men | early adulthood | putamen | young adults
4,2020-2025,"postawy, stigma i przekonania",6,6,Metacognitive beliefs | attitude | attitudes | dysfunctional attitudes
4,2020-2025,stres i radzenie sobie,6,6,coping | coping styles | early maladaptive schemas | psychological hardiness | resilience
4,2020-2025,samobójczość i autoagresja,9,5,non suicidal self-injury | self-harm | suicidal behaviour | suicide | suicide attempt
4,2020-2025,"dzieci, adolescenci i rodzina",6,5,childbearing age women | childlessness | co-dependent mothers | parental attitudes | parenthood | school achievements
4,2020-2025,funkcjonowanie poznawcze i neuropsychologia,6,5,Cognitive Processing Therapy | cognitive biases | cognitive control | cognitive flexibility | cognitive inhibition | theory of mind
4,2020-2025,terapia poznawczo-behawioralna i terapie trzeciej fali,6,5,CBT | Contact Centre | cognitive- behavioral therapy | cognitive-behavioral therapy | dialectical behavior therapyDBT | mindfulness
4,2020-2025,"ryzyko, czynniki ochronne i predyktory",5,5,clinical high risk | determinants of health | risk factor | risk factors | risk managment
4,2020-2025,starzenie się i osoby starsze,5,5,Alzheimer's disease | Elderly | dementia of the Alzheimer type | older workers | the elderly
4,2020-2025,"ocena kliniczna, psychometria i narzędzia pomiarowe",7,4,Attitude Measurement | Factor Analysis | Psychometric Evaluation | Psychometric Value | confirmatory factor analysis | exploratory factor analysis | psychological measurement
4,2020-2025,epidemiologia i rozpowszechnienie,4,4,epidemic | heart rate
4,2020-2025,profilaktyka i promocja zdrowia,4,4,health behaviour | prevention | prevention and control | preventive operations
4,2020-2025,"wyniki leczenia, skuteczność i rokowanie",4,4,Recovery from Psychiatric Disability | effectiveness | recovery | recovery from psychiatric disability
4,2020-2025,zaburzenia snu,4,3,sleep disorder | sleep disturbance | sleep disturbances | sleep paralysis
4,2020-2025,zaburzenie obsesyjno-kompulsyjne i pokrewne,4,3,Obsessive-compulsive disorder | affirming compulsions | compulsive sexual behavior disorders | emotional injury OCD
4,2020-2025,"agresja, przemoc i zachowania antyspołeczne",3,3,intimate partner violence | prison | violence
4,2020-2025,"historia, pamięć i trauma zbiorowa",3,3,holocaust | personal values | war
4,2020-2025,"kobiety, ciąża i zdrowie okołoporodowe",3,3,breastfeeding | woman | women
4,2020-2025,"migracja, mniejszości i kontekst międzykulturowy",3,3,India | Nigeria | voluntary and forced migrants
4,2020-2025,psychiatria i zdrowie psychiczne,3,3,Psychiatry | psychiatry
4,2020-2025,psychoanaliza i podejście psychodynamiczne,3,3,defense mechanisms | mentalization | object relations
4,2020-2025,gastroenterologia i mikrobiota,2,2,gut microbiota
4,2020-2025,klasyfikacje diagnostyczne i systemy nozologiczne,2,2,Misdiagnosis | psychodiagnostics
4,2020-2025,objawy i nasilenie objawów,2,2,Psychological symptoms | psychological symptoms
4,2020-2025,organizacja opieki psychiatrycznej,2,2,oral care | service users
4,2020-2025,pierwszy epizod i stany wysokiego ryzyka,2,2,UHR | uhr
4,2020-2025,"terapia rodzinna, systemowa i grupowa",2,2,group therapy
4,2020-2025,"etyka, prawo i polityka zdrowotna",2,1,code of ethics | ethics
4,2020-2025,alter ego,1,1,alter ego
4,2020-2025,amnesia,1,1,Amnesia
4,2020-2025,anesthesia,1,1,Anesthesia
4,2020-2025,anomia,1,1,anomia
4,2020-2025,antioxidants,1,1,antioxidants
4,2020-2025,archetype,1,1,archetype
4,2020-2025,argentine tango,1,1,Argentine tango
4,2020-2025,assertiveness,1,1,assertiveness
4,2020-2025,bioactive compounds,1,1,bioactive compounds
4,2020-2025,birding,1,1,birding
4,2020-2025,blindness,1,1,blindness
4,2020-2025,breast reduction surgery,1,1,Breast reduction surgery
4,2020-2025,buprenorphine,1,1,buprenorphine
4,2020-2025,caudate nucleus,1,1,caudate nucleus
4,2020-2025,cechy patologiczne,1,1,Pathological traits
4,2020-2025,climate change,1,1,climate change
4,2020-2025,cluster a,1,1,Cluster A
4,2020-2025,codependency,1,1,codependency
4,2020-2025,compassion for others,1,1,compassion for others
4,2020-2025,concentration,1,1,concentration
4,2020-2025,conduct zaburzenie,1,1,Conduct Disorder
4,2020-2025,consent capacity,1,1,consent capacity
4,2020-2025,containment measures,1,1,containment measures
4,2020-2025,conversational artificial intelligence,1,1,conversational artificial intelligence
4,2020-2025,corpus callosum,1,1,corpus callosum
4,2020-2025,creative thinking,1,1,creative thinking
4,2020-2025,crohn's disease,1,1,Crohn’s Disease
4,2020-2025,cyberchondria,1,1,Cyberchondria
4,2020-2025,cyclothymic,1,1,cyclothymic
4,2020-2025,cytokines,1,1,cytokines
4,2020-2025,death,1,1,death
4,2020-2025,defense styles,1,1,defense styles
4,2020-2025,delirium,1,1,delirium
4,2020-2025,dietary supplements,1,1,dietary supplements
4,2020-2025,drawings,1,1,drawings
4,2020-2025,dryness of mouth,1,1,dryness of mouth
4,2020-2025,dysorthography,1,1,dysorthography
4,2020-2025,dysphoria,1,1,dysphoria
4,2020-2025,eating styles,1,1,eating styles
4,2020-2025,edukacja medyczna i szkolenie,1,1,learning
4,2020-2025,egypt,1,1,Egypt
4,2020-2025,ejakulat,1,1,jizz
4,2020-2025,electrodermal activity,1,1,electrodermal activity
4,2020-2025,engagement,1,1,engagement
4,2020-2025,ericksonian parallel process,1,1,Ericksonian parallel process
4,2020-2025,ericksonian supervision,1,1,Ericksonian supervision
4,2020-2025,exhaustion,1,1,exhaustion
4,2020-2025,experience,1,1,experience
4,2020-2025,externalizing behaviors,1,1,externalizing behaviors
4,2020-2025,extreme sports,1,1,extreme sports
4,2020-2025,faecal impaction,1,1,faecal impaction
4,2020-2025,faecaloma,1,1,faecaloma
4,2020-2025,first person account,1,1,first person account
4,2020-2025,foster care,1,1,foster care
4,2020-2025,funkcjonariusze policji,1,1,police officers
4,2020-2025,fuzzy promethee,1,1,fuzzy PROMETHEE
4,2020-2025,galvanic skin response,1,1,galvanic skin response
4,2020-2025,gingivitis,1,1,gingivitis
4,2020-2025,grupa Balinta,1,1,Balint group
4,2020-2025,guided discovery,1,1,guided discovery
4,2020-2025,hamowanie motoryczne,1,1,motor inhibition
4,2020-2025,harm reduction,1,1,harm reduction
4,2020-2025,harmonia wewnętrzna,1,1,inner harmony
4,2020-2025,hashimoto's disease,1,1,Hashimoto’s disease
4,2020-2025,hyperthymic,1,1,hyperthymic
4,2020-2025,hypothyroidism,1,1,hypothyroidism
4,2020-2025,immunology,1,1,immunology
4,2020-2025,impasse,1,1,impasse
4,2020-2025,"instytucje, redakcja i komunikacja naukowa",1,1,Editorial Editorial 1
4,2020-2025,kliniczny intuition,1,1,clinical intuition
4,2020-2025,kryteria normatywne,1,1,normative criteria
4,2020-2025,language exercises,1,1,language exercises
4,2020-2025,lipedema,1,1,Lipedema
4,2020-2025,marihuana,1,1,marihuana
4,2020-2025,mastektomia,1,1,mastectomy
4,2020-2025,mastektomia profilaktyczna,1,1,prophylactic mastectomy
4,2020-2025,media,1,1,media
4,2020-2025,memantine,1,1,memantine
4,2020-2025,metacognition,1,1,metacognition
4,2020-2025,metylofenidat,1,1,Methylphenidate
4,2020-2025,midazolam,1,1,Midazolam
4,2020-2025,mindful eating,1,1,mindful eating
4,2020-2025,mizofonia,1,1,misophonia
4,2020-2025,monoterpen,1,1,monotherpen
4,2020-2025,moralny agent,1,1,moral agent
4,2020-2025,moralny wstręt,1,1,moral disgust
4,2020-2025,mr terapia,1,1,MR therapy
4,2020-2025,newsletter,1,1,Newsletter
4,2020-2025,niepełnosprawność,1,1,disability
4,2020-2025,odżywianie,1,1,nutrition
4,2020-2025,oksytocyna,1,1,oxytocin
4,2020-2025,osadzeni,1,1,inmates
4,2020-2025,osobisty terapia,1,1,personal therapy
4,2020-2025,patogenowy wstręt,1,1,pathogen disgust
4,2020-2025,patologia,1,1,pathology
4,2020-2025,periodontal zdrowie,1,1,periodontal health
4,2020-2025,pierwotny chłoniak ośrodkowego układu nerwowego,1,1,Primary central nervous system lymphoma
4,2020-2025,pompa insulinowa,1,1,insulin pump
4,2020-2025,poradnictwo i konsultacja psychologiczna,1,1,counseling
4,2020-2025,postkomunistyczny,1,1,post-communist
4,2020-2025,prescription,1,1,prescription
4,2020-2025,problem prawny,1,1,juridical problem
4,2020-2025,profilaktyczne usunięcie przydatków,1,1,prophylactic adnexectomy
4,2020-2025,propofol,1,1,Propofol
4,2020-2025,prospective iu,1,1,prospective IU
4,2020-2025,psychiczny contamination,1,1,mental contamination
4,2020-2025,psychodrama,1,1,psychodrama
4,2020-2025,public zdrowie,1,1,public health
4,2020-2025,qol measures,1,1,QoL measures
4,2020-2025,quarantine,1,1,quarantine
4,2020-2025,"religia, duchowość i egzystencja",1,1,spirituality
4,2020-2025,repeated transcranial magnetic stimulation,1,1,repeated transcranial magnetic stimulation
4,2020-2025,ruminative thinking,1,1,ruminative thinking
4,2020-2025,różnice indywidualne,1,1,individual differences
4,2020-2025,scientific production,1,1,scientific production
4,2020-2025,seizures,1,1,seizures
4,2020-2025,seksualność i orientacja seksualna,1,1,homosexuality
4,2020-2025,seniors,1,1,seniors
4,2020-2025,sensation seeking,1,1,sensation seeking
4,2020-2025,serum,1,1,Serum
4,2020-2025,skydivers,1,1,skydivers
4,2020-2025,socioeconomic status,1,1,socioeconomic status
4,2020-2025,socjopatia,1,1,sociopathy
4,2020-2025,solastalgia,1,1,solastalgia
4,2020-2025,specific zaburzenie,1,1,specific disorder
4,2020-2025,sprawcy,1,1,offenders
4,2020-2025,stages of supervision,1,1,stages of supervision
4,2020-2025,statystyka,1,1,statistics
4,2020-2025,stosunek neutrofili do limfocytów,1,1,Neutrophil lymphocyte ratio
4,2020-2025,stuttering,1,1,stuttering
4,2020-2025,styl humoru,1,1,humour styles
4,2020-2025,terapeuta characteristics,1,1,therapist characteristics
4,2020-2025,thanatosis,1,1,Thanatosis
4,2020-2025,the dark triad,1,1,the Dark Triad
4,2020-2025,the light triad,1,1,the Light Triad
4,2020-2025,therapeutics,1,1,therapeutics
4,2020-2025,therapists,1,1,therapists
4,2020-2025,transcranial direct current stimulation,1,1,transcranial direct current stimulation
4,2020-2025,transcranial direct current stimulation (tdcs),1,1,Transcranial Direct Current Stimulation (tDCS)
4,2020-2025,unconsciousness in the supervision process,1,1,unconsciousness in the supervision process
4,2020-2025,użytkownicy dożylni,1,1,IV Users
4,2020-2025,vaginismus,1,1,Vaginismus
4,2020-2025,verbal fluency,1,1,verbal fluency
4,2020-2025,visegrad countries,1,1,Visegrad countries
4,2020-2025,voice hearing,1,1,voice hearing
4,2020-2025,wielokryterialny,1,1,multi-criteria
4,2020-2025,wnioskowanie,1,1,inference
4,2020-2025,worry,1,1,worry
4,2020-2025,wytyczne WHO,1,1,OMS guidelines
4,2020-2025,xenomelia,1,1,xenomelia
4,2020-2025,zaburzenia dysocjacyjne i somatoformiczne,1,1,dissociation
4,2020-2025,zaburzenie,1,1,disorder
4,2020-2025,zasób informacyjny,1,1,information resource
4,2020-2025,zjawiska fizjologiczne,1,1,physiological phenomena
4,2020-2025,świąd,1,1,itch
