semantic_family,semantic_family_label,family_group,rank_within_family,term_norm,n_articles,pct_all_articles,n_term_hit_rows,marker_strength,marker_strength_reason,semantic_confidence,mapping_rule,review_flag
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,3,words,692,5.6889,692,strong,high_confidence_initial_mapping,high,language_terms,
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,4,representations,403,3.3131,403,medium,medium_confidence_initial_mapping,medium,representation_meaning_terms,optional_review_medium_confidence
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,5,story,303,2.491,303,strong,high_confidence_initial_mapping,high,narrative_terms,
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,6,english language,47,0.3864,47,strong,high_confidence_initial_mapping,high,language_terms,
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,7,representational world,25,0.2055,25,medium,medium_confidence_initial_mapping,medium,representation_meaning_terms,optional_review_medium_confidence
object_relations,Object relations,Object-relational traditions,1,object,2449,20.1332,2449,weak,flagged_by_3c_QA_refinement_queue,high,object_relations_terms,
object_relations,Object relations,Object-relational traditions,2,internal,942,7.7442,942,weak,flagged_by_3c_QA_refinement_queue,low,broad_internal_external_review,manual_review_low_confidence
object_relations,Object relations,Object-relational traditions,3,objects,741,6.0917,741,weak,flagged_by_3c_QA_refinement_queue,high,object_relations_terms,
object_relations,Object relations,Object-relational traditions,4,external,730,6.0013,730,weak,flagged_by_3c_QA_refinement_queue,low,broad_internal_external_review,manual_review_low_confidence
object_relations,Object relations,Object-relational traditions,5,object relations,556,4.5709,556,strong,protected_strong_phrase_marker,high,object_relations_terms,manual_review_multiple_family_matches
object_relations,Object relations,Object-relational traditions,6,splitting,268,2.2032,268,strong,high_confidence_initial_mapping,high,kleinian_object_relations_overlap,
object_relations,Object relations,Object-relational traditions,7,projective identification,216,1.7757,216,strong,protected_strong_phrase_marker,high,projective_introjective_terms,manual_review_multiple_family_matches
object_relations,Object relations,Object-relational traditions,8,object relationships,147,1.2085,147,strong,high_confidence_initial_mapping,high,object_relations_terms,manual_review_multiple_family_matches
object_relations,Object relations,Object-relational traditions,9,external world,120,0.9865,120,weak,low_confidence_initial_mapping,low,broad_internal_external_review,manual_review_low_confidence
object_relations,Object relations,Object-relational traditions,10,external reality,119,0.9783,119,weak,low_confidence_initial_mapping,low,broad_internal_external_review,manual_review_low_confidence
object_relations,Object relations,Object-relational traditions,11,internal objects,102,0.8385,102,strong,high_confidence_initial_mapping,high,object_relations_terms,
object_relations,Object relations,Object-relational traditions,12,object relationship,102,0.8385,102,strong,high_confidence_initial_mapping,high,object_relations_terms,manual_review_multiple_family_matches
object_relations,Object relations,Object-relational traditions,13,object representations,101,0.8303,101,strong,high_confidence_initial_mapping,high,object_relations_terms,manual_review_multiple_family_matches
object_relations,Object relations,Object-relational traditions,14,internal world,94,0.7728,94,weak,low_confidence_initial_mapping,low,broad_internal_external_review,manual_review_low_confidence
object_relations,Object relations,Object-relational traditions,15,internal object,91,0.7481,91,strong,protected_strong_phrase_marker,high,object_relations_terms,
object_relations,Object relations,Object-relational traditions,16,depressive position,74,0.6084,74,strong,protected_strong_phrase_marker,high,kleinian_object_relations_overlap,manual_review_multiple_family_matches
object_relations,Object relations,Object-relational traditions,17,love object,70,0.5755,70,strong,high_confidence_initial_mapping,high,object_relations_terms,
object_relations,Object relations,Object-relational traditions,18,object loss,57,0.4686,57,strong,high_confidence_initial_mapping,high,object_relations_terms,manual_review_multiple_family_matches
object_relations,Object relations,Object-relational traditions,19,early object,51,0.4193,51,strong,high_confidence_initial_mapping,high,object_relations_terms,manual_review_multiple_family_matches
object_relations,Object relations,Object-relational traditions,20,object choice,47,0.3864,47,strong,high_confidence_initial_mapping,high,object_relations_terms,
object_relations,Object relations,Object-relational traditions,21,object constancy,44,0.3617,44,strong,high_confidence_initial_mapping,high,object_relations_terms,
object_relations,Object relations,Object-relational traditions,22,patient's internal,43,0.3535,43,weak,low_confidence_initial_mapping,low,broad_internal_external_review,manual_review_low_confidence
object_relations,Object relations,Object-relational traditions,23,self object,37,0.3042,37,strong,high_confidence_initial_mapping,high,object_relations_terms,manual_review_multiple_family_matches
object_relations,Object relations,Object-relational traditions,24,external objects,36,0.296,36,strong,high_confidence_initial_mapping,high,object_relations_terms,
object_relations,Object relations,Object-relational traditions,25,internalized object,35,0.2877,35,strong,high_confidence_initial_mapping,high,object_relations_terms,
object_relations,Object relations,Object-relational traditions,26,selfand object,35,0.2877,35,strong,high_confidence_initial_mapping,high,object_relations_terms,
object_relations,Object relations,Object-relational traditions,27,self-object differentiation,15,0.1233,15,strong,high_confidence_initial_mapping,high,object_relations_terms,manual_review_multiple_family_matches
object_relations,Object relations,Object-relational traditions,28,self objects,6,0.0493,6,strong,high_confidence_initial_mapping,high,object_relations_terms,manual_review_multiple_family_matches
object_relations,Object relations,Object-relational traditions,29,internal external,2,0.0164,2,weak,low_confidence_initial_mapping,low,broad_internal_external_review,manual_review_low_confidence
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,1,primitive,523,4.2996,523,weak,flagged_by_3c_QA_refinement_queue,medium,primitive_early_state_terms,optional_review_medium_confidence
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,2,psychotic,488,4.0118,488,strong,protected_strong_phrase_marker,high,psychosis_terms,
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,3,borderline,359,2.9513,359,strong,protected_strong_phrase_marker,high,borderline_terms,
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,4,borderline personality,105,0.8632,105,strong,high_confidence_initial_mapping,high,borderline_terms,
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,5,primitive mental,30,0.2466,30,medium,medium_confidence_initial_mapping,medium,primitive_early_state_terms,optional_review_medium_confidence
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,6,borderline psychopathology,7,0.0575,7,strong,high_confidence_initial_mapping,high,borderline_terms,
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,7,psychotic wavelength,7,0.0575,7,strong,high_confidence_initial_mapping,high,psychosis_terms,
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,8,borderline schizophrenic,2,0.0164,2,strong,high_confidence_initial_mapping,high,borderline_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,1,relationship,2625,21.5801,2625,weak,flagged_by_3c_QA_refinement_queue,high,relational_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,2,relational,909,7.4729,909,strong,high_confidence_initial_mapping,high,relational_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,3,relationships,835,6.8645,835,weak,flagged_by_3c_QA_refinement_queue,high,relational_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,4,dialogue,738,6.0671,738,weak,flagged_by_3c_QA_refinement_queue,medium,dialogue_mutuality_terms,optional_review_medium_confidence
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,5,interpersonal,496,4.0776,496,strong,high_confidence_initial_mapping,high,relational_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,6,recognition,441,3.6255,441,medium,medium_confidence_initial_mapping,medium,recognition_thirdness_terms,optional_review_medium_confidence
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,7,intersubjective,328,2.6965,328,strong,protected_strong_phrase_marker,high,intersubjective_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,8,mutual,322,2.6472,322,weak,flagged_by_3c_QA_refinement_queue,medium,dialogue_mutuality_terms,optional_review_medium_confidence
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,9,intersubjectivity,172,1.414,172,strong,protected_strong_phrase_marker,high,intersubjective_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,10,therapeutic relationship,139,1.1427,139,strong,high_confidence_initial_mapping,high,relational_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,11,two-person,78,0.6412,78,medium,medium_confidence_initial_mapping,medium,field_two_person_terms,optional_review_medium_confidence
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,12,relational studies,73,0.6001,73,strong,high_confidence_initial_mapping,high,relational_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,13,relational perspective,51,0.4193,51,strong,high_confidence_initial_mapping,high,relational_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,14,relational perspectives,49,0.4028,49,strong,high_confidence_initial_mapping,high,relational_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,15,mitchell relational,30,0.2466,30,strong,high_confidence_initial_mapping,high,relational_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,16,mutual influence,29,0.2384,29,medium,medium_confidence_initial_mapping,medium,dialogue_mutuality_terms,optional_review_medium_confidence
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,17,relational track,25,0.2055,25,strong,high_confidence_initial_mapping,high,relational_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,18,relational study,24,0.1973,24,strong,high_confidence_initial_mapping,high,relational_terms,manual_review_multiple_family_matches
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,19,dynamic interpersonal,18,0.148,18,strong,high_confidence_initial_mapping,high,relational_terms,
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,20,relational theories,17,0.1398,17,strong,high_confidence_initial_mapping,high,relational_terms,
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,1,interpretation,1206,9.9145,1206,strong,protected_strong_phrase_marker,high,interpretation_terms,
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,2,technique,1104,9.076,1104,medium,medium_confidence_initial_mapping,medium,technique_setting_terms,optional_review_medium_confidence
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,3,setting,641,5.2696,641,weak,flagged_by_3c_QA_refinement_queue,medium,technique_setting_terms,optional_review_medium_confidence
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,4,technical,548,4.5051,548,weak,flagged_by_3c_QA_refinement_queue,medium,technique_setting_terms,optional_review_medium_confidence
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,5,interpretations,406,3.3377,406,strong,high_confidence_initial_mapping,high,interpretation_terms,
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,6,termination,214,1.7593,214,medium,medium_confidence_initial_mapping,medium,clinical_technique_terms,optional_review_medium_confidence
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,7,therapeutic action,180,1.4798,180,strong,protected_strong_phrase_marker,high,therapeutic_action_terms,
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,8,psycho-analytic technique,29,0.2384,29,medium,medium_confidence_initial_mapping,medium,technique_setting_terms,optional_review_medium_confidence
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,9,analyst's interpretations,23,0.1891,23,strong,high_confidence_initial_mapping,high,interpretation_terms,
transference_countertransference,Transference / countertransference,Clinical process / technique,1,transference,1764,14.5018,1764,strong,protected_strong_phrase_marker,high,transference_terms,
transference_countertransference,Transference / countertransference,Clinical process / technique,2,countertransference,876,7.2016,876,strong,protected_strong_phrase_marker,high,countertransference_terms,
transference_countertransference,Transference / countertransference,Clinical process / technique,3,enactment,365,3.0007,365,strong,high_confidence_initial_mapping,high,enactment_terms,
transference_countertransference,Transference / countertransference,Clinical process / technique,4,enactments,167,1.3729,167,strong,high_confidence_initial_mapping,high,enactment_terms,
transference_countertransference,Transference / countertransference,Clinical process / technique,5,transference countertransference,143,1.1756,143,strong,high_confidence_initial_mapping,high,transference_terms,
transference_countertransference,Transference / countertransference,Clinical process / technique,6,transference-countertransference,143,1.1756,143,strong,high_confidence_initial_mapping,high,transference_terms,
transference_countertransference,Transference / countertransference,Clinical process / technique,7,transference neurosis,132,1.0852,132,strong,high_confidence_initial_mapping,high,transference_terms,
transference_countertransference,Transference / countertransference,Clinical process / technique,8,transference phenomena,48,0.3946,48,strong,high_confidence_initial_mapping,high,transference_terms,
transference_countertransference,Transference / countertransference,Clinical process / technique,9,transference situation,42,0.3453,42,strong,high_confidence_initial_mapping,high,transference_terms,
transference_countertransference,Transference / countertransference,Clinical process / technique,10,transference interpretation,37,0.3042,37,strong,high_confidence_initial_mapping,high,transference_terms,manual_review_multiple_family_matches
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,1,emotional,1015,8.3443,1015,weak,flagged_by_3c_QA_refinement_queue,medium,affect_emotion_terms,optional_review_medium_confidence
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,2,anxiety,976,8.0237,976,weak,flagged_by_3c_QA_refinement_queue,medium,affect_specific_terms,optional_review_medium_confidence
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,3,trauma,947,7.7853,947,strong,protected_strong_phrase_marker,high,trauma_terms,
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,4,affect,906,7.4482,906,weak,flagged_by_3c_QA_refinement_queue,medium,affect_emotion_terms,optional_review_medium_confidence
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,5,feelings,794,6.5275,794,weak,flagged_by_3c_QA_refinement_queue,medium,affect_emotion_terms,optional_review_medium_confidence
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,6,affective,439,3.609,439,medium,medium_confidence_initial_mapping,medium,affect_emotion_terms,optional_review_medium_confidence
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,7,dissociation,241,1.9813,241,strong,protected_strong_phrase_marker,high,dissociation_terms,
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,8,regulation,215,1.7675,215,strong,high_confidence_initial_mapping,high,regulation_terms,
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,9,affect regulation,59,0.485,59,strong,protected_strong_phrase_marker,high,regulation_terms,
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,1,mother,1343,11.0408,1343,weak,flagged_by_3c_QA_refinement_queue,medium,maternal_environment_overlap,manual_review_multiple_family_matches
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,2,play,805,6.6179,805,weak,flagged_by_3c_QA_refinement_queue,medium,play_creativity_terms,optional_review_medium_confidence
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,3,mother child,83,0.6823,83,medium,medium_confidence_initial_mapping,medium,maternal_environment_overlap,manual_review_multiple_family_matches
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,4,potential space,49,0.4028,49,strong,protected_strong_phrase_marker,high,transitional_space_terms,
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,5,external environment,34,0.2795,34,medium,medium_confidence_initial_mapping,medium,maternal_environment_overlap,manual_review_multiple_family_matches
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,6,winnicott's collected,8,0.0658,8,strong,high_confidence_initial_mapping,high,winnicott_name_terms,
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,7,father mother,2,0.0164,2,medium,medium_confidence_initial_mapping,medium,maternal_environment_overlap,manual_review_multiple_family_matches
